
ShowLevelAboveDesc			"Show Level Above"
WorldModifierSocialTownDesc		"Social Town: The people here talk a lot."

WorldModifierHeroicTown			"Heroic Town"
WorldModifierHeroicTownDesc		"Heroic Town: The people in this town try to act more like heroes."

WorldModifierTornados			"Tornado Alley"
WorldModifierTornadosDesc		"Tornado Alley: The town is in an area that is prone to tornados."

WorldModifierWarZone			"War Zone"
WorldModifierWarZoneDesc		"War Zone: There has been a lot of trouble with Demons and Undead here."

WorldModifierPayingTraitors		"Paying Traitors"
WorldModifierPayingTraitorsDesc		"Paying Traitors: Someone is paying traitors a lot of money."

WorldModifierElectricalHazard		"Electrical Hazard"
WorldModifierElectricalHazardDesc	"Electrical Hazard: The dungeon tends to have lots of ways to electrocute yourself."

WorldModifierRagingHoards		"Raging Hoards"
WorldModifierRagingHoardsDesc		"Raging Hoards: More monsters are running around than normal.\nThey are less powerful than normal though."

WorldModifierHaltedMining		"Halted Mining"
WorldModifierHaltedMiningDesc		"Halted Mining: Something is preventing the NPCs in town from doing some\nof their normal work, so they are making less money than usual."

WorldModifierInfestation		"Infestation"
WorldModifierInfestationDesc		"Infestation: The town is infested with little critters, increasing food prices."

WorldModifierThievesDen			"Thieves Den"
WorldModifierThievesDenDesc		"Thieves Den: A lot of stealing goes on in this town."

WorldModifierCupid			"Cupid"
WorldModifierCupidDesc			"Cupid: Relationships between townspeople usually go very well."

WorldModifierRowdy			"Rowdy"
WorldModifierRowdyDesc			"Rowdy: Fights are more likely to break our in town."

DemonHunter				"Chasseur de démons"
DemonHunterDesc				"Chasseur de démons\n\nDeadly death-dealers revel in the demonic arts, using those powers in new and devious ways."

SkillTreeReaver				"Reaver"
SkillTreeWarden				"Warden"
SkillTreeDemonologist			"Démonologiste"

ReaverDesc				"Reaver\n\nThis berserker strikes fast and hard, enjoying turning demon power into speedy kills."
WardenDesc				"Warden\n\nThis deflector excels at protecting, arcane damage, and control."
DemonologistDesc			"Demonologist\n\nThis intellectual's studies have paid off greatly, for they wield demon powers like possession and demonic control."

ManaGenReaver				"Dévorer"
ManaGenReaverDesc			"Gain mana from each kill."

FireResistanceBonus			"Fire Resistance Bonus"
FireResistanceDesc			"Extra Fire Resistance per point of spirit."
ColdResistanceBonus			"Cold Resistance Bonus"
ColdResistanceDesc			"Extra Cold Resistance per point of spirit."
LightningResistanceBonus		"Lightning Resistance Bonus"
LightningResistanceDesc			"Extra Lightning Resistance per point of spirit."
PoisonResistanceBonus			"Poison Resistance Bonus"
PoisonResistanceDesc			"Extra Poison Resistance per point of spirit."

TwoHandedMasterySkill			"Two-Handed Mastery"
TwoHandedMasteryDesc			"Improves combat performance with two-handed weapons."
UnholyStrikeSkill			"Unholy Strike"
UnholyStrikeDesc			"Demonic power added to your strike causes its\nown damage while slowing the victim."
FireStrikeSkill				"Fire Strike"
FireStrikeDesc				"A short, demonic fire attack harms all enemies in its path."
BreechSkill				"Breech"
BreechDesc				"Finds vulnerable spots in armor and bodies."
ChargeSkill				"Charge"
ChargeDesc				"With increased movement speed, attack and damage,\nyou're ready to charge into battle."
RavageSkill				"Ravage"
RavageDesc				"Damages up to three enemies in one attack."
TerrorizeSkill				"Terrorize"
TerrorizeDesc				"Scares all enemies in range, decreasing their\ncombat effectiveness."
WampirBloodSkill			"Wampir Blood"
WampirBloodDesc				"Throws poisonous wampir blood on all nearby\nenemies, causing damage over time."
RampageSkill				"Rampage"
RampageDesc				"For a short time you become deadlier in combat."

SpiritStrikeSkill			"Spirit Strike"
SpiritStrikeDesc			"This damaging attack leaves the victim weaker."
ShieldSweepSkill			"Shield Sweep"
ShieldSweepDesc				"A shield attack that harms, interrupts, and\nstuns up to 5 victims."
ShieldBlastSkill			"Shield Blast"
ShieldBlastDesc				"A shield attack that stuns as well as deals damage."
IceWardSkill				"Ice Ward"
IceWardDesc				"Creates an Ice Ward at the cursor location.\nWard slows enemy movement (-33%) and\nattack speed (-5% per ward level) while\nincreasing friendlies' (and your) ice\nresistance (+10% per ward level)."
LightningWardSkill			"Lightning Ward"
LightningWardDesc			"Creates a Lightning Ward at the cursor location.\nWard slows all projectiles (-75%) while increasing\nfriendlies' (and your) lightning resistance (+10%\nper ward level)."
FireWardSkill				"Fire Ward"
FireWardDesc				"Creates a Fire Ward at the cursor location.\nWard increases friendlies' (and your) fire\nresistance (50% and then +10% per ward\nlevel) and adds fire damage (25%-50%) to\ntheir combat damage."
PoisonWardSkill				"Poison Ward"
PoisonWardDesc				"Creates a Poison Ward at the cursor location.\nWard damages enemies with poison (+1 damage\neach second per ward level) and attack speed\n(-5% per ward level) while increasing friendlies'\n(and your) poison resistance (+10% per ward level)."
MagicalDeflectionSkill			"Magical Deflection"
MagicalDeflectionDesc			"Powerful magical defense protects the caster\nfrom many of the enemies' hits."
BanishSkill				"Banish"
BanishDesc				"Teleports the targeted enemy away."
EnergyShieldSkill			"Energy Shield"
EnergyShieldDesc			"Greatly increases defense for a time, while\nreflecting damage back to your opponents."

ImpaleSkill				"Impale"
ImpaleDesc				"An attack with a high chance of critical hits."
PossessionSkill				"Possession"
PossessionDesc				"Become a powerful demon for a short period of time."
InfernoSkill				"Inferno"
InfernoDesc				"Become a living fire and damage anything within range."
DemonicRoarSkill			"Demonic Roar"
DemonicRoarDesc				"Scares all nearby enemies and decreases their combat abilities."
BloodRageSkill				"Blood Rage"
BloodRageDesc				"Use this added damage skill after each time you're hit (stacks up to four)."
BloodSacrificeSkill			"Blood Sacrifice"
BloodSacrificeDesc			"A big boost to your damage for a short time but\nalso drains your health while active."
CircleOfProtectionSkill			"Circle of Protection"
CircleOfProtectionDesc			"Adds 25 physical resistance per skill level\nto all friendlies within the circle."
CircleOfPowerSkill			"Circle of Power"
CircleOfPowerDesc			"Increases power (physical damage 15%, critical hits 10%,\ncrushing blows 10%, magic critical hits 10%,\nand magic crushing blows 10% per skill\nlevel to all friendlies within the circle."
DemonArmorSkill				"Demon Armor"
DemonArmorDesc				"Using pieces of vanguished demons, increases\nyour armor and decreases chances of you\ntaking critical hits and crushing blows."
DemonicControlSkill			"Demonic Control"
DemonicControlDesc			"The ultimate in knowledge from demons.\nSubvert the will of the victim and make\nthem an ally for a short period of time."

IceWardResistance			"Ice Ward Resistance"
IceWardResistanceAura			"Ice Ward Resistance Aura"
IceWardSlow				"Ice Ward Slow"
IceWardSlowAura				"Ice Ward Slow Aura"

LightningWardResistance			"Lightning Ward Resistance"
LightningWardResistanceAura		"Lightning Ward Resistance Aura"
LightningWardTemporalFluxAura		"Lightning Ward Temporal Flux Aura"

FireWardResistance			"Fire Ward Resistance"
FireWardResistanceAura			"Fire Ward Resistance Aura"
FireWardFireAura			"Fire Ward Fire Aura"

PoisonWardResistance			"Poison Ward Resistance"
PoisonWardResistanceAura		"Poison Ward Resistance Aura"
PoisonWardDamage			"Poison Ward Damage"
PoisonWardDamageAura			"Poison Ward Damage Aura"

CircleOfProtectionAura			"Circle of Protection Aura"
CircleOfPowerAura			"Circle of Power Aura"

Controlled				"Controlled"

Rylor					"Rylor"
RylorBull				"Rylor Bull"
RylorWinged				"Winged Rylor"

Rylor1					"Magma Rylor"
Rylor2					"Frost Rylor"
Rylor3					"Shock Rylor"
Rylor4					"Toxic Rylor"
Rylor5					"Arcane Rylor"

Rylor1Unique				"Moxx"
Rylor1bUnique				"Nuz"
Rylor2Unique				"Darg"
Rylor2bUnique				"Nalar"
Rylor3Unique				"Smorn"
Rylor3bUnique				"Torg"
Rylor4Unique				"Zuta"
Rylor4bUnique				"Xak"
Rylor5Unique				"Lox"
Rylor5bUnique				"Maw"

Rylor1Legend				"Drot"
Rylor2Legend				"Urz"
Rylor3Legend				"Sero"
Rylor4Legend				"Orok"
Rylor5Legend				"Foozle"

RylorBull1				"Magma Rylor Bull"
RylorBull2				"Frost Rylor Bull"
RylorBull3				"Shock Rylor Bull"
RylorBull4				"Toxic Rylor Bull"
RylorBull5				"Arcane Rylor Bull"

RylorBull1Unique			"Fiero"
RylorBull1bUnique			"Feroz"
RylorBull2Unique			"Harg"
RylorBull2bUnique			"Maloco"
RylorBull3Unique			"Gava"
RylorBull3bUnique			"Tarvos"
RylorBull4Unique			"Tor"
RylorBull4bUnique			"Tyr"
RylorBull5Unique			"Erg"
RylorBull5bUnique			"Kali"

RylorBull1Legend			"Taurus"
RylorBull2Legend			"Argus"
RylorBull3Legend			"Grell"
RylorBull4Legend			"Galak"
RylorBull5Legend			"Siegebreaker"

RylorWinged1				"Winged Magma Rylor"
RylorWinged2				"Winged Frost Rylor"
RylorWinged3				"Winged Shock Rylor"
RylorWinged4				"Winged Toxic Rylor"
RylorWinged5				"Winged Arcane Rylor"

RylorWinged1Unique			"Alatus"
RylorWinged1bUnique			"Ruko"
RylorWinged2Unique			"Vaz"
RylorWinged2bUnique			"Lanc"
RylorWinged3Unique			"Aliger"
RylorWinged3bUnique			"Lagas"
RylorWinged4Unique			"Slira"
RylorWinged4bUnique			"Nadar"
RylorWinged5Unique			"Anudar"
RylorWinged5bUnique			"Dray"

RylorWinged1Legend			"Morlag"
RylorWinged2Legend			"Komen"
RylorWinged3Legend			"Vartok"
RylorWinged4Legend			"Nokar"
RylorWinged5Legend			"Dravok"

BodyPartRylorWinged			"wing"
BodyPartKrallWorker			"pincher"
BodyPartKrallWarrior			"spike"

Krall					"Krall"
KrallWorker				"Krall Worker"
KrallWarrior				"Krall Warrior"

KrallWorker1				"Krall Worker"
KrallWorker2				"Charged Krall Worker"
KrallWorker3				"Armored Krall Worker"
KrallWorker4				"Ancient Krall Worker"
KrallWorker5				"Flame Krall Worker"

KrallWorker1Unique			"Blood Tooth"
KrallWorker1bUnique			"Vile Torture"
KrallWorker2Unique			"Maw Storm"
KrallWorker2bUnique			"Wicked Cutter"
KrallWorker3Unique			"Dire Walker"
KrallWorker3bUnique			"Malice Ravager"
KrallWorker4Unique			"Putrid Claw"
KrallWorker4bUnique			"Frost Venom"
KrallWorker5Unique			"Dead Spike"
KrallWorker5bUnique			"Steel Viper"

KrallWorker1Legend			"Early Grave"
KrallWorker2Legend			"Shock Scorch"
KrallWorker3Legend			"Reaver Claw"
KrallWorker4Legend			"Earth Strike"
KrallWorker5Legend			"Brood Wrecker"

KrallWarrior1				"Krall Warrior"
KrallWarrior2				"Charged Krall Warrior"
KrallWarrior3				"Armored Krall Warrior"
KrallWarrior4				"Ancient Krall Warrior"
KrallWarrior5				"Flame Krall Warrior"

KrallWarrior1Unique			"Steel Horns"
KrallWarrior1bUnique			"Venom Spike"
KrallWarrior2Unique			"Slash Spike"
KrallWarrior2bUnique			"Cruel Claw"
KrallWarrior3Unique			"Blood Spike"
KrallWarrior3bUnique			"Grim Horror"
KrallWarrior4Unique			"Agony Ripper"
KrallWarrior4bUnique			"Steel One"
KrallWarrior5Unique			"Death Creeper"
KrallWarrior5bUnique			"Blast Burn"

KrallWarrior1Legend			"Doom Craze"
KrallWarrior2Legend			"Thunder Shock"
KrallWarrior3Legend			"Grim Walker"
KrallWarrior4Legend			"Steel Night"
KrallWarrior5Legend			"Hell Burn"

KrallMark				"Krall Mark"

FactionNameDemons			"Démons"
FactionNameNeutralNpc			"PNJ neutre"

WorldModifierSize			"Taille du monde"
WorldModifierSizeDesc			"Changes the average depths of the dungeon"
WorldModifierSizeSmall			"Petit"
WorldModifierSizeNormal			"Normal"
WorldModifierSizeLarge			"Vaste"

Drunk					"Ivre"

NpcLeftTown				"##1## a quitté la ville (malheureux)."
LocalHero				"Town Luminary"

NpcLocalHero				"##1## est maintenant un $$LocalHero$$ !"
NpcNotLocalHero				"##1## n'est plus un $$LocalHero$$ de la ville !"

Hap					" :)"
UHap					" :("

Drink					"Boit"
Argument				"Querelle"
Talk					"Parle"
GambleLoss				"Perd au jeu"
GambleWin				"Gagne au jeu "
Pray					"Prie"
Shopping				"Emplettes"
Donation				"Donation"
DwellOnMoney				"Dwelling on Money"
Jealous					"Jaloux"
Gossip					"Ragots"
Praise					"Loue"
NpcPropose				"^c000Propose"
NpcMarried				"^c000Marié"
NpcDivorced				"^c000Divorcé"
NpcFlirt				"Flirt"
NpcRelationshipMarried			"I'm married to ##1##."
NpcRelationshipGoodFriends		"I'm good friends with ##1##."
NpcRelationshipFriends			"I'm friends with ##1##."
NpcRelationshipHate			"I hate ##1##."
NpcRelationshipDislike			"I dislike ##1##."

Donate					"Donate"
NpcDonationDesc				"Donate ##1## to this npc\nYou have ##2##"
CantAffordDonation			"Can't Afford Donation"

QuestTitleDebt				"Get ##1## out of debt"
QuestTextDebt1				"##1## has let ##2## finances get out of control and now needs help. Please donate some money to get them out of debt."
QuestSolvedByNpcDebt			"##1##'s debt paid off by ##2##"

QuestMalePronounHis			"son"
QuestFemalePronounHer			"son"
QuestMalePronounHim			"lui"

QuestAnnounceMining			"##2## needs some mining done."
QuestTitleMining			"Mine gold vein"
QuestTextMining				"##1## was planning on doing some mining down in the dungeons today, but it's a bit too dangerous for them. The special gold vein that is wanted is marked. You can find these gold veins to mine in "
GoldVeinMarked				"Marked Gold Vein"

ObsidianTeleportStone			"Obsidian for Teleport Stone"
TeleportStoneRecharged			"Teleport Stone Recharged"
QuestAnnounceTeleportStone		"Teleport Stone found."
QuestTitleTeleportStone			"Recharge your Teleport Stone"
QuestTextTeleportStone			"We have located some Obsidian that will allow us to recharge your Teleport Stone. Note: this won't be of any use if you haven't used your Teleport Stone yet."

QuestAnnounceStarving			"##1## is starving and needs help!"
QuestTitleStarving			"##1## is starving"
QuestTextStarving1			"##1## has no money and is starving. If no help, ##1## will likely starve to death. To help either pay off ##1##'s debts or give ##2## some food."
QuestSolvedByNpcStarving		"##1## is no longer starving thanks to ##2##"
QuestNpcDiedStarving			"##1## starved to death"

CriminalFine				"##1## was fined ##2##"

LeftClickToPickup			"Left Click to Pickup"

QuestAnnounceEvidenceTheft		"Someone has stolen from ##1##"
QuestTitleEvidenceTheft			"Solve theft from ##1##"
QuestTextEvidenceTheft			"Someone has stolen from ##1##, please bring back evidence of who did it so they can be punished."
QuestEndEvidenceTheft			"Evidence in ##1## theft has been destroyed."
EvidenceTheft				"Evidence of Theft"
CaughtTheft				"##1## was caught stealing!"

QuestAnnounceEvidencePoisonedSupply	"Someone from town poisoned the provisions supply!"
QuestTitleEvidencePoisonedSupply	"Find who poisoned the town's provisions supply"
QuestTextEvidencePoisonedSupply		"Someone from town has poisoned the town's provisions supply, please bring back evidence of who did it so they can be punished."
QuestEndEvidencePoisonedSupply		"Evidence from the provisions poisoner has been destroyed."
EvidencePoisonedSupply			"Evidence of Poisoning"
CaughtPoisonedSupply			"##1## was caught poisoning the provisions supply!"

QuestAnnounceEvidenceTownTraps		"Someone from town trapped the town!"
QuestTitleEvidenceTownTraps		"Find who trapped the town"
QuestTextEvidenceTownTraps		"Someone from town has trapped the town, please bring back evidence of who did it so they can be punished."
QuestEndEvidenceTownTraps		"Evidence from the town trapping has been destroyed."
EvidenceTownTraps			"Evidence of Town Trapping"
CaughtTownTraps				"##1## was caught setting traps in town!"

QuestAnnounceEvidencePlague		"Someone has town started the plague!"
QuestTitleEvidencePlague		"Find who started the plague"
QuestTextEvidencePlague			"Someone from town has started the plague, please bring back evidence of who did it so they can be punished."
QuestEndEvidencePlague			"Evidence from the plague starter has been destroyed."
EvidencePlague				"Evidence of the Plague"
CaughtPlague				"##1## was caught starting the plague in town!"

QuestAnnounceEvidenceCurse		"Someone has cursed the town!"
QuestTitleEvidenceCurse			"Find out who cursed the town"
QuestTextEvidenceCurse			"Someone from town has has cursed the town, please bring back evidence of who did it so they can be punished."
QuestEndEvidenceCurse			"Evidence who has cursed the town has been destroyed."
EvidenceCurse				"Evidence of the Curse"
CaughtCurse				"##1## was caught cursing the town!"

QuestAnnounceEvidenceMonsterScout	"Someone from town let in a scout!"
QuestTitleEvidenceMonsterScout		"Find who let in the scout"
QuestTextEvidenceMonsterScout		"Someone from town has let a scout into the town, please bring back evidence of who did it so they can be punished."
QuestEndEvidenceMonsterScout		"Evidence who let in the scout has been destroyed."
EvidenceMonsterScout			"Evidence of Scouting"
CaughtMonsterScout			"##1## was caught letting a scout into town!"

QuestAnnounceEvidenceWarAgainstTown	"Someone from town got us into a war!"
QuestTitleEvidenceWarAgainstTown	"Find who started the war"
QuestTextEvidenceWarAgainstTown		"Someone from town has betrayed us and gotten us into a war, please bring back evidence of who did it so they can be punished."
QuestEndEvidenceWarAgainstTown		"Evidence who started the war has been destroyed."
EvidenceWarAgainstTown			"Evidence of War"
CaughtWarAgainstTown			"##1## was caught getting the town into a war!"

QuestAnnounceEvidenceUprisingRaidPlan	"Someone from town sold town secrets!"
QuestTitleEvidenceUprisingRaidPlan	"Find who sold town secrets"
QuestTextEvidenceUprisingRaidPlan	"Someone from town has sold town secrets that will likely result in a raid, please bring back evidence of who did it so they can be punished."
QuestEndEvidenceUprisingRaidPlan	"Evidence who sold town secrets has been destroyed."
EvidenceUprisingRaidPlan		"Evidence of Town Secrets"
CaughtUprisingRaidPlan			"##1## was caught selling town secrets!"

QuestAnnounceEvidenceUprisingTownAttackPlan	"Someone from town is trying to destroy it!"
QuestTitleEvidenceUprisingTownAttackPlan	"Find who is trying to destroy the town"
QuestTextEvidenceUprisingTownAttackPlan		"Someone from town is trying to get the town destroyed by selling information to monsters that are likely to attack the town, please bring back evidence of who did it so they can be punished."
QuestEndEvidenceUprisingTownAttackPlan		"Evidence who is trying to destroy the town has been destroyed."
EvidenceUprisingTownAttackPlan			"Evidence of Town Destroyer"
CaughtUprisingTownAttackPlan			"##1## was caught trying to get the town destroyed!"

QuestAnnounceEvidenceDeadlyPoison	"Someone from town poisoned a town member!"
QuestTitleEvidenceDeadlyPoison		"Find who poisoned a town member"
QuestTextEvidenceDeadlyPoison		"Someone from town has poisoned another town member, please bring back evidence of who did it so they can be punished."
QuestEndEvidenceDeadlyPoison		"Evidence who poisoned another town member has been destroyed."
EvidenceDeadlyPoison			"Evidence of Poisoning"
CaughtDeadlyPoison			"##1## was caught poisoning a town member!"

NpcBanished				"The citizens of ##2## have banished ##1## from town"

QuestTitleEvidenceGateIntoTown		"Gate into town"
QuestTextEvidenceGateIntoTown		"You found and destroyed the gate leading into town!"
EvidenceGateIntoTown			"Illegal Gate into Town"
CaughtGateIntoTown			"##1## was caught building a gate into town!"

TornadoWarning				"A tornado has touched down in town!"

// MachineEarthquake

MachineAntiMagic			"Anti-Magic Machine"
MachineAntiMagicDesc			"Anti-Magic Machine: There is a machine in the dungeon creating Anti-Magic fields."

QuestAnnounceUniqueMachineAntiMagic	"Discovered an Anti-Magic machine."
QuestAnnounceUniqueMachineAntiMagicFromBoss	"##3## has built an Anti-Magic machine."
QuestAnnounceUniqueMachineAntiMagicFromUniqueMonsterSpotted	"##3## has built an Anti-Magic machine."
QuestAnnounceUniqueMachineAntiMagicFromKillMonsterGroup	"##3##'s group has built an Anti-Magic machine."
QuestAnnounceUniqueMachineAntiMagicFromQuestFindPlansMachineEarthquake	"We failed to discover the plans, now an Anti-Magic machine has been built."
QuestAnnounceUniqueMachineAntiMagicFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, now an Anti-Magic machine has been built."
QuestAnnounceUniqueMachineAntiMagicFromQuestUniqueMachineWeather	"Due to the success of the weather machine, now an Anti-Magic machine has been built."
QuestAnnounceUniqueMachineAntiMagicFromQuestUniqueMachineTemporalFlux	"Due to the success of the Temporal Flux machine, now an Anti-Magic machine has been built."
QuestAnnounceUniqueMachineAntiMagicFromQuestUniqueMachineFog		"Due to the success of the Fog machine, now an Anti-Magic machine has been built."
QuestAnnounceUniqueMachineAntiMagicFromQuestUniqueMachineIce		"Due to the success of the Ice machine, now an Anti-Magic machine has been built."
QuestAnnounceUniqueMachineAntiMagicFromQuestDinUniqueAltarErillin	"In worship of the altar to Erillin, an Anti-Magic machine has been built."

QuestTitleUniqueMachineAntiMagic	"Destroy the Anti-Magic machine"
QuestTextUniqueMachineAntiMagic		"We have discovered a machine that is causing Anti-Magic fields. Go destroy the machine."

// MachineTemporalFlux

MachineTemporalFlux			"Temporal Flux Machine"
MachineTemporalFluxDesc			"Temporal Flux Machine: There is a machine in the dungeon creating Temporal Fluxes."

QuestAnnounceUniqueMachineTemporalFlux	"Discovered a Temporal Flux machine."
QuestAnnounceUniqueMachineTemporalFluxFromBoss	"##3## has built a Temporal Flux machine."
QuestAnnounceUniqueMachineTemporalFluxFromUniqueMonsterSpotted	"##3## has built a Temporal Flux machine."
QuestAnnounceUniqueMachineTemporalFluxFromKillMonsterGroup	"##3##'s group has built a Temporal Flux machine."
QuestAnnounceUniqueMachineTemporalFluxFromQuestFindPlansMachineEarthquake	"We failed to discover the plans, now a Temporal Flux machine has been built."
QuestAnnounceUniqueMachineTemporalFluxFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, now a Temporal Flux machine has been built."
QuestAnnounceUniqueMachineTemporalFluxFromQuestUniqueMachineWeather	"Due to the success of the weather machine, now a Temporal Flux machine has been built."
QuestAnnounceUniqueMachineTemporalFluxFromQuestUniqueMachineAntiMagic	"Due to the success of the Anti-Magic machine, now a Temporal Flux machine has been built."
QuestAnnounceUniqueMachineTemporalFluxFromQuestUniqueMachineFog		"Due to the success of the Fog machine, now a Temporal Flux machine has been built."
QuestAnnounceUniqueMachineTemporalFluxFromQuestUniqueMachineIce		"Due to the success of the Ice machine, now a Temporal Flux machine has been built."
QuestAnnounceUniqueMachineTemporalFluxFromQuestDinUniqueAltarErillin	"In worship of the altar to Erillin, a Temporal Flux machine has been built."

QuestTitleUniqueMachineTemporalFlux	"Destroy the Temporal Flux machine"
QuestTextUniqueMachineTemporalFlux	"We have discovered a machine that is causing Temporal Fluxes. Go destroy the machine."

// MachineFog

Fog					"Fog"

MachineFog				"Fog Machine"
MachineFogDesc				"Fog Machine: There is a machine in the dungeon creating patches of fog."

QuestAnnounceUniqueMachineFog		"Discovered a fog machine."
QuestAnnounceUniqueMachineFogFromBoss	"##3## has built a fog machine."
QuestAnnounceUniqueMachineFogFromUniqueMonsterSpotted	"##3## has built a fog machine."
QuestAnnounceUniqueMachineFogFromKillMonsterGroup	"##3##'s group has built a fog machine."
QuestAnnounceUniqueMachineFogFromQuestFindPlansMachineEarthquake	"We failed to discover the plans, now a fog machine has been built."
QuestAnnounceUniqueMachineFogFromQuestUniqueMachineDarkness	"Due to the success of the darkness machine, now a fog machine has been built."
QuestAnnounceUniqueMachineFogFromQuestUniqueMachineWeather	"Due to the success of the weather machine, now a fog machine has been built."
QuestAnnounceUniqueMachineFogFromQuestUniqueMachineAntiMagic	"Due to the success of the Anti-Magic machine, now a Fog machine has been built."
QuestAnnounceUniqueMachineFogFromQuestUniqueMachineTemporalFlux	"Due to the success of the Temporal Flux machine, now a Fog machine has been built."
QuestAnnounceUniqueMachineFogFromQuestUniqueMachineIce		"Due to the success of the Ice machine, now a Fog machine has been built."
QuestAnnounceUniqueMachineFogFromQuestDinUniqueAltarErillin	"In worship of the altar to Erillin, a fog machine has been built."

QuestTitleUniqueMachineFog	"Destroy the fog machine"
QuestTextUniqueMachineFog	"We have discovered a machine that is causing patches of fog. This might not sound bad, but it hinders visibility and makes things more dangerous. Go destroy the machine."

// MachineIce

