
GoldStolen				"##1## volé"
SkillTreeShaman				"Shaman"
SkillTreeFireMage			"Fire Mage"
SkillTreeIceMage			"Ice Mage"
SkillTreeMagician			"Magician"
SkillTreeArcher				"Archer"
SkillTreeHunter				"Hunter"
SkillTreeDruid				"Druid"
SkillTreeWarlock			"Warlock"
SkillTreeNecromancer			"Necromancer"
SkillTreeSorcerer			"Sorcerer"

// Basic skills

DeepWoundsDesc				"Deep wounds causes another 200% of\nthe melee hit damage over 5 seconds."

ClothArmor				"Cloth Armor"
BasicClothArmorDesc			"Can use any type of cloth armor."
LeatherArmor				"Leather Armor"
BasicLeatherArmorDesc			"Can use any type of leather armor."
MailArmor				"Mail Armor"
BasicMailArmorDesc			"Can use any type of mail armor."
Shield					"Shield"
BasicShieldDesc				"Can use any type of shield."
Cape					"Cape"
BasicCapeDesc				"Can wear capes."
Dagger					"Dagger"
BasicDaggerDesc				"Can wield daggers."
Axe					"Axe"
BasicAxeBothDesc			"Can use one and two-handed axes."
BasicAxeDesc				"Can use any one-handed axe."
Sword					"Sword"
BasicSwordBothDesc			"Can use one and two-handed swords."
BasicSwordDesc				"Can use any one-handed sword."
Mace					"Mace"
BasicMaceBothDesc			"Can use one and two-handed maces."
BasicMaceDesc				"Can use any one-handed mace."
Staff					"Staff"
BasicStaffDesc				"Can use any staff."
Bow					"Bow"
BasicBowDesc				"Can use any bow."

Attack					"Attack"
BowAttack				"Bow Attack"

AttackBonus				"Attack Bonus"
AttackBonusDesc				"You're more likely to hit your target\nwith bonus attack per point of dexterity."

DefenseBonus				"Defense Bonus"
DefenseBonusDesc			"You're more likely to avoid blows with\nbonus defense per point of dexterity."

HealthBonus				"Health Bonus"
HealthBonusDesc				"Your green bar of health will greatly expand,\nwith extra health per point of vitality."

PowerBonus				"Power Bonus"
PowerBonusDesc				"Knowledge sustains you, and your\nmagic well won't easily run dry with\nextra mana per point of intelligence."
PowerBonusDesc2				"Faith is your weapon, your magic well/nwon't easily run dry with\nextra mana per point of spirit."

DamageMultBonus				"Damage Mult Bonus"
DamageMultBonusDesc			"Bring more hurt to your enemy with\nbonus damage per point of strength."

PowerRegenBonus				"Mana Regen Bonus"
PowerRegenBonusDesc			"Faith feeds the magic well, with \nfaster mana regen per point of spirit."
PowerRegenBonusDesc2			"Knowledge refills the magic well, with\nfaster mana regen per point of intelligence."

// Weapon master skills

ManaGenWeaponMaster			"Weaponmaster Rage"
ManaGenWeaponMasterDesc			"Successful hits against a foe will bolster your mana supply."
PowerStrike				"Power Strike"
PowerStrikeDesc				"A cheap, but powerful attack causing extra damage to the enemy."
Whirlwind				"Whirlwind"
WhirlwindDesc				"Spreads pain to multiple opponents,\nup to 5 within range."
DevastatingBlow				"Devastating Blow"
DevastatingBlowDesc			"A very powerful attack where ALL of the warrior's\nmana channels into one mighty blow."
Adrenaline				"Adrenaline"
AdrenalineDesc				"Speeds up your attacks for a short time."
PerfectStrike				"Perfect Strike"
PerfectStrikeDesc			"A powerful attack with a higher chance of hitting your target."
ArmsMastery				"Arms Mastery"
ArmsMasteryDesc				"Improves combat performance with any weapon."
SwordMastery				"Sword Mastery"
SwordMasteryDesc			"Improves sword combat performance."
AxeMastery				"Axe Mastery"
AxeMasteryDesc				"Improves axe combat performance."
MaceMastery				"Mace Mastery"
MaceMasteryDesc				"Improves mace combat performance."
Bleed					"Bleed"
BleedDesc				"Hits are more likely to cause deep wounds.\n$$DeepWoundsDesc$$"

// Gladiator skills

ManaGenGladiator			"Gladiator Rage"
ManaGenGladiatorDesc			"Gain a mana boost when hit by an enemy."
FocusArmor				"Focus: Absorb Damage"
FocusArmorDesc				"Focusing on armor will cause less damage\ntaken than normal. Focus skills share skill\npoints and can only be used one at a time."
FocusDamage				"Focus: Deal Damage"
FocusDamageDesc				"Focusing on damage will cause more damage\ndealt than normal. Focus skills share skill\npoints and can only be used one at a time."
FocusRage				"Focus: Rage"
FocusRageDesc				"Focusing on rage will cause more mana\ngained than normal. Focus skills share skill\npoints and can only be used one at a time."
SavageStrike				"Savage Strike"
SavageStrikeDesc			"A powerful attack causing extra damage to\nthe enemy and with a higher chance of\nlanding a crushing blow."
Enrage					"Enrage"
EnrageDesc				"Annoys nearby monsters who will be\nmore likely to attack you than others."
Cleave					"Cleave"
CleaveDesc				"This attack damages 2 foes at once."
Crushingblow				"Crushing blow"
CrushingblowDesc			"Increases your chances of hitting a crushing\nblow and causing maximum damage."
BerserkSkillName			"Berserk"
BerserkSkillDesc			"A quick, powerful attack more likely to hit\nthe enemy with extra damage, but also leaves\nyou vulnerable and easier to hit for a few seconds."
BloodLustSkillName			"Blood Lust"
BloodLustSkillDesc			"Mana refills more quickly."
RuptureArmorName			"Rupture Armor"
RuptureArmorDesc			"Damages the enemy's armor.\nCan use up to 4 times on the same foe."

// Defender skills

ManaGenDefender				"Defender rage"
ManaGenDefenderDesc			"Gain extra mana each time you block or parry."
Revenge					"Revenge"
RevengeDesc				"A very powerful attack used only\nafter you've been critically hit."
Riposte					"Riposte"
RiposteDesc				"An attack with extra damage used only after\nyou've parried or blocked an attack."
Retaliation				"Retaliation"
RetaliationDesc				"An attack with extra damage used only\nafter you've been hit by an enemy."
ShieldBash				"Shield Bash"
ShieldBashDesc				"This shield attack will stun your enemy."
Gut					"Gut"
GutDesc					"An attack inflicting lots of damage over time."
BlockingSkillName			"Blocking"
BlockingSkillDesc			"Increases your ability to block attacks."
ParrySkillName				"Parry"
ParrySkillDesc				"Increases your ability to parry attacks."
PlateArmor				"Plate Armor"
PlateArmorDesc				"Can wear plate armor. Each skill level\nmakes your armor more efficient."
BlockSkillName				"Block"
BlockSkillDesc				"Not only is it harder for your foes to hit you\nduring the block but it will also stun them."
ShieldMastery				"Shield Mastery"
ShieldMasteryDesc			"When using a shield, you receive a defense bonus."

// Assassin skills

ManaGenAssassin				"Assassination"
ManaGenAssassinDesc			"Gain extra mana when you cause\ncritical hits and kill enemies."
Rupture					"Rupture"
RuptureDesc				"This has extra damage\nand a high chance of deep wounds.\n$$DeepWoundsDesc$$"
Lethalblow				"Lethal blow"
LethalblowDesc				"A powerful attack with a higher chance\nto hit, more damage, and more critical\nhits to your enemies."
PreciseStrike				"Precise Strike"
PreciseStrikeDesc			"This situational attack does lots of\nextra damage and has a good chance\nfor a critical hit."
ViperVenom				"Viper Venom"
ViperVenomDesc				"This attack causes poison damage over time."
SpotVulnerability			"Spot vulnerability"
SpotVulnerabilityDesc			"Find the gaps in the enemy's armor,\nlike a little game of strip fighting."
DeathBlow				"Death Blow"
DeathBlowDesc				"Gobs of damage is more likely to hit\nthe target, and when you kill with this\nattack, a poison cloud is released."
CriticalStrike				"Critical Strike"
CriticalStrikeDesc			"When the target is distracted, or you or\nyour target scores a critical hit this attack\ncauses tons of damage."
ChargedStrike				"Charged Strike"
ChargedStrikeDesc			"When your attack makes contact, a frost nova is released."
DeadlyAim				"Deadly Aim"
DeadlyAimDesc				"Increases your chances of causing critical hits."
Precision				"Precision"
PrecisionDesc				"Improves your aim, causing you to\nhit your target more often."

// Trickster skills

ManaGenTrickster			"Energetic"
ManaGenTricksterDesc			"Faster mana regeneration during combat."
Jab					"Jab"
JabDesc					"A sneaky blow reducing your enemy's\nhate making it more likely they'll\nattack another."
Gouge					"Gouge"
GougeDesc				"This distracting attack lowers your\nfoe's defenses and chance to hit."
Daze					"Daze"
DazeDesc				"Stuns the enemy for a moment."
Feint					"Feint"
FeintDesc				"Confuses the target and makes it easier\nto score critical hits on them for a moment."
Stealth					"Stealth"
StealthDesc				"Left click will not attack when stealthed,\nand you must remain unseen to stay\nstealthed.  Bonuses last 5 seconds after\nnoticed."
SleightofHand				"Sleight of Hand"
SleightofHandDesc			"Confuses the enemy into thinking a\nrandom nearby non-ally attacked him."
SmokeScreen				"Smoke Screen"
SmokeScreenDesc				"Creates a smoke screen that confuses your enemies."
Dodge					"Dodge"
DodgeDesc				"Improves your ability to dodge an attack."
Evasion					"Evasion"
EvasionDesc				"Improves your ability to evade an attack."
ShurikenSkillName			"Shuriken"
ShurikenSkillDesc			"A ranged attack with throwing stars."

// Thief skills

ManaGenThief				"Energetic"
ManaGenThiefDesc			"Faster mana regeneration during combat."
Slice					"Slice"
SliceDesc				"A powerful attack that also increases the chance of deep wounds.\n$$DeepWoundsDesc$$"
DisarmTrap				"Disarm Trap"
DisarmTrapDesc				"Automatically attempts to disarm any triggered traps."
ConcentrationPoison			"Concentration: Poison"
ConcentrationPoisonDesc			"Adds tons of poison damage to all\nsuccessful melee attacks for a short\nperiod. Can only use 1 concentration\nskill at a time."
ConcentrationSpeed			"Concentration: Speed"
ConcentrationSpeedDesc			"Increases attack speed, the chance of critical\nhits, and deep wounds for a short period.\nCan only use 1 concentration skill at a time."
ConcentrationBlur			"Concentration: Blur"
ConcentrationBlurDesc			"Makes you much harder to hit for a short period.\nCan only use 1 concentration skill at a time."
Caltrops				"Caltrops"
CaltropsDesc				"Drops lots of jagged, sharp metal\nto slow down your opponents."
CombatReflexes				"Combat Reflexes"
CombatReflexesDesc			"Increases your dexterity and thus,\nyour attack and defense in combat."
DaggerMastery				"Dagger mastery"
DaggerMasteryDesc			"Improves dagger combat performance."
LockPickSkillName			"Lock Pick"
LockPickSkillDesc			"You can pick locks."
TreasureHunterSkillName			"Treasure Hunter"
TreasureHunterSkillDesc			"You'll find more gold."

// Paladin skills

ManaGenPaladin				"Holy Rage"
ManaGenPaladinDesc			"Gain extra mana gain when blocking or parrying."
Zeal					"Zeal"
ZealDesc				"An attack with extra damage and\nchance to get a crushing blow."
MailArmorSkillName			"Mail Armor"
MailArmorSkillDesc			"Can wear any mail armor.  Each skill\nlevel makes your armor more efficient."
RegenerationSkillName			"Regeneration"
RegenerationSkillDesc			"This spell regenerates your health for a while."
StunningBlowsSkillName			"Stunning Blows"
StunningBlowsSkillDesc			"Increased chance of landing stunning\nblows, which stun the enemy for a moment."
CrushingBlowSkillName			"Crushing Blow"
CrushingBlowSkillDesc			"Increased chance of landing a crushing\nblow, which automatically causes the\nmaximum damage for that hit."
SmiteSkillName				"Smite"
SmiteSkillDesc				"A powerful attack with lingering\ndamage for a moment."
BraverySkillName			"Bravery"
BraverySkillDesc			"Extra defense and chance of hitting\nfor you and your friends for a little while."

// Healer skills

Holybolt				"Holybolt"
HolyBoltDesc				"Projectile that causes holy damage."
Prayer					"Prayer"
PrayerDesc				"Renew faith faster while praying."
LesserHeal				"Lesser Heal"
LesserHealDesc				"Heal yourself or another quickly."
CurePoison				"Cure Poison"
CurePoisonDesc				"When you are poisoned this will lessen\nthe damage the poison does over time"
AreaHeal				"Area Heal"
AreaHealDesc				"Heal yourself and any friends in the area."
GreaterHeal				"Greater Heal"
GreaterHealDesc				"Heal yourself or another with the\nmost efficient use of mana."
HolyStrike				"Holy Strike"
HolyStrikeDesc				"Strike your foe with a holy lightning bolt."
HolySymbol				"Holy Symbol"
HolySymbolDesc				"This holy attack damages all enemies in range."
HolyShield				"Holy Shield"
HolyShieldDesc				"This magical shield absorbs all damage\nuntil the max damage is absorbed\nor the spell time ends."

// Shaman skills

Lifeburn				"Lifeburn"
LifeburnDesc				"Burns target with fire damage for a short period."
HardinessBlessing			"Hardiness (Blessing)"
HardinessBlessingDesc			"This blessing bestows extra health for\na time. Can only have 1 blessing at a time. "
TrueAimBlessing				"True Aim (Blessing)"
TrueAimBlessingDesc			"This blessing improves your attack for\na time. Can only have 1 blessing at a time. "
HolyFire				"Holy Fire"
HolyFireDesc				"Exploding attack spell causes\nfire damage within a small range."
FireResistanceProtection		"Fire Resistance (Protection)"
FireResistanceProtectionDesc		"Increases resistance to fire damage. Protection\nskills are linked and share skill points."
LightningResistanceProtection		"Lightning Resistance (Protection)"
LightningResistanceProtectionDesc	"Increases resistance to lightning damage. Protection\nskills are linked and share skill points."
PoisonResistanceProtection		"Poison Resistance (Protection)"
PoisonResistanceProtectionDesc		"Increases resistance to poison damage. Protection\nskills are linked and share skill points."
ColdResistanceProtection		"Cold Resistance (Protection)"
ColdResistanceProtectionDesc		"Increases resistance to cold damage. Protection\nskills are linked and share skill points."
DivineIntervention			"Divine Intervention"
DivineInterventionDesc			"Desperate prayer to regain full health and mana."
ChampionSkillName			"Champion"
ChampionSkillDesc			"Binds the gods' favor with the\nspell's target for a while."

// Fire mage skills

ManaGenFireMage				"Potion and drink bonus"
ManaGenFireMageDesc			"Potions and drinks replentish more mana than normal."
FieryBlast				"Fiery Blast"
FieryBlastDesc				"Attack your enemies with fire."
Fireball				"Fireball"
FireballDesc				"Deal fire damage to multiple enemies\nwithin range with this explosion."
SweepingFlames				"Sweeping Flames"
SweepingFlamesDesc			"This cone-shaped fire attack\nburns anything in its path."
ImmolationSkillName			"Immolation"
ImmolationSkillDesc			"Boil your victims from within\nwith lingering fire damage."
ShieldofFireSkillName			"Shield of Fire"
ShieldofFireSkillDesc			"Protects you from fire damage as well\nas burning enemies who hit you for a while."
FlameBladeSkillName			"Flame Blade"
FlameBladeSkillDesc			"Enchants flames onto your weapon adding\ngobs of fire damage for a time."
FireElementalSkillName			"Fire Elemental"
FireElementalSkillDesc			"Creates a Fire Elemental (only can control\none at a time).  Each skill level increases\nthe fire elemental level by 1."
VolcanoSkillName			"Volcano"
VolcanoSkillDesc			"Bring forth a surge of lava from the ground.\nGreat fire damage occurs over 5 seconds."
MaelstromSkillName			"Fire Maelstrom"
MaelstromSkillDesc			"A huge, swirling fire of death traps\nenemies and hurts them.  Large amounts\nof fire damage occurs over 5 seconds."
FireMastery				"Fire Mastery"
FireMasteryDesc				"Enhances the following fire skills:\n$$FieryBlast$$, $$Fireball$$, $$SweepingFlames$$,\n$$ImmolationSkillName$$, $$VolcanoSkillName$$, and $$MaelstromSkillName$$."

// Ice mage skills

ManaGenIceMage				"Potion and drink bonus"
ManaGenIceMageDesc			"Can use potions and drinks to refill mana."
ArcticShard				"Arctic Shard"
ArcticShardDesc				"Attack your enemies with ice."
FrostNova				"Frost Nova"
FrostNovaDesc				"Ring of ice blasts around you,\ndamaging multiple enemies."
IceStorm				"Ice Storm"
IceStormDesc				"Creates a storm of damaging hail.  Great\nice damage occurs over 5 seconds."
Concentration				"Concentration"
ConcentrationDesc			"Regenerate mana more quickly."
IceArmorSkillName			"Ice Armor"
IceArmorSkillDesc			"Ice protects you like armor and increases\nyour cold resistance for a while."
FrostBiteSkillName			"Frost Bite"
FrostBiteSkillDesc			"Weakens your target's resistance for a short period."
IcePrisonSkillName			"Ice Prison"
IcePrisonSkillDesc			"Freezes an enemy solid for a time.  The enemy\ncan do nothing but also cannot be damaged."
PermafrostSkillName			"Permafrost"
PermafrostSkillDesc			"This doesn't cause any damage,\nbut it has a nasty slow down effect."
ShatterSkillName			"Shatter"
ShatterSkillDesc			"If your victim dies from this massive\ncold damage, they'll become a grenade\nand explode, hurting enemies nearby."
ColdMastery				"Cold Mastery"
ColdMasteryDesc				"Enhances the following cold skills:\n$$ArcticShard$$, $$FrostNova$$, $$IceStorm$$,\n$$FrostBiteSkillName$$, $$IcePrisonSkillName$$, $$PermafrostSkillName$$,\nand $$ShatterSkillName$$."

// Magician skills

ManaGenMagician				"Potion and drink bonus"
ManaGenMagicianDesc			"Can use potions and drinks to refill mana."
BlindingFlash				"Blinding Flash"
BlindingFlashDesc			"Blinds all nearby enemies for a moment."
ArmorMelt				"Armor Melt"
ArmorMeltDesc				"Damages enemy's armor making them easier to hit."
MagicShield				"Magic Shield"
MagicShieldDesc				"This magical shield absorbs all damage\nuntil the max damage is absorbed or\nthe spell time ends."
DeepThought				"Deep Thought"
DeepThoughtDesc				"Increases your max mana."
ArcaneFocus				"Arcane Focus"
ArcaneFocusDesc				"Increases chances of dealing critical hits and\ncrushing blows from your magic for a moment."
Teleport				"Teleport"
TeleportDesc				"Teleports you to the selected location\n(where your mouse cursor is pointing to)."
ArcaneBlastSkillName			"Arcane Blast"
ArcaneBlastSkillDesc			"This attack causes magic damage."
ArcaneSwarmSkillName			"Arcane Swarm"
ArcaneSwarmSkillDesc			"Multiple magical energy bolts\nchoose random targets."
ArcaneDrainSkillName			"Arcane Drain"
ArcaneDrainSkillDesc			"Drains an enemy's health for a moment."

// Archer skills

ManaGenArcher				"Elation"
ManaGenArcherDesc			"Mana gain for each critical hit dealt."
FlamingArrowSkillName			"Flaming Arrow"
FlamingArrowSkillDesc			"Fires a flaming arrow from your\nbow causing extra fire damage."
EagleEyeSkillName			"Eagle Eye"
EagleEyeSkillDesc			"Better chances of hitting target\nand dealing critical hits."
PoisonArrowSkillName			"Poison Arrow"
PoisonArrowSkillDesc			"Fires an arrow dripping with poison causing\nlots of poison damage for a time."
ShockBoltSkillName			"Shock Bolt"
ShockBoltSkillDesc			"Fires an arrow fortified with electricity\nwhich may stun the target."
MultiShotSkillName			"Multishot"
MultiShotSkillDesc			"Shoots 3 magical arrows at once."
BowMastery				"Bow Mastery"
BowMasteryDesc				"Improves bow combat performance."
ExplodingArrowSkillName			"Exploding Arrow"
ExplodingArrowSkillDesc			"Shoots an exploding arrow,\nhurting all nearby enemies."
FastDrawSkillName			"Fast Draw"
FastDrawSkillDesc			"Increases attack speed for a short\ntime but also drains stamina."
MarkedForDeathSkillName			"Marked for Death"
MarkedForDeathSkillDesc			"Makes it easier to hit and damage an enemy."

// Hunter skills

SerratedArrowSkillName			"Serrated Arrow"
SerratedArrowSkillDesc			"Shoots a barbed arrow with a higher chance\nof causing deep wounds or a critical hit."
ImmolationTrapSkillName			"Immolation Trap"
ImmolationTrapSkillDesc			"Throws out a fire trap which is triggered\nwhen monsters get too close.  Traps will\nonly last for 15 seconds."
FreezingTrapSkillName			"Freezing Trap"
FreezingTrapSkillDesc			"Throws out an ice trap which is triggered\nwhen monsters get too close.  Traps will\nonly last for 15 seconds."
NetTrapSkillName			"Net Trap"
NetTrapSkillDesc			"Throws out an immobilizing trap which is\ntriggered when monsters get too close.\nTraps will only last for 15 seconds."
InfusedEnergySkillName			"Infused Energy"
InfusedEnergySkillDesc			"Converts some stamina into mana."
LightTouchSkillName			"Light Touch"
LightTouchSkillDesc			"Makes it harder for monsters to notice you."
SprintSkillName				"Sprint"
SprintSkillDesc				"Can run faster for a moment."
TrapMasterySkillName			"Trap Mastery"
TrapMasterySkillDesc			"Enhances the following trap skills:\n$$ImmolationTrapSkillName$$, $$FreezingTrapSkillName$$, and $$NetTrapSkillName$$."
CookingSkillName			"Cooking"
CookingSkillDesc			"Search dead bodies for something edible."
LureSkillName				"Lure"
LureSkillDesc				"Spawns a lure to drag monsters away from you.\nEach skill level raises the magical lure's level."

// Druid skills

Weakness				"Sap Strength"
WeaknessDesc				"Decreases the amount of physical\ndamage an enemy deals."
BarkskinSkillName			"Barkskin"
BarkskinSkillDesc			"Strengthens your armor for a time."
Earthquake				"Earthquake"
EarthquakeDesc				"Causes an earthquake, damaging\nall enemies in a large area."
ManaRegenSkillName			"Mana Regen"
ManaRegenSkillDesc			"Regenerates mana over time."
StrengthOfStoneSkillName		"Strength of Stone"
StrengthOfStoneSkillDesc		"Increases your strength for a while."
EarthLinkSkillName			"Earth Link"
EarthLinkSkillDesc			"Ties yourself closer to the earth resulting\nin higher health and extra poison resistance."
NaturesRevengeSkillName			"Nature's Revenge"
NaturesRevengeSkillDesc			"Causes poison damage over time."
KodiakSkillName				"Kodiak"
KodiakSkillDesc				"Change form into a fierce Kodiak. Beware,\nyou can't use any skills during this time."
StalkerSkillName			"Stalker"
StalkerSkillDesc			"Change form into a quick Stalker. Beware,\nyou can't use any skills during this time."
EarthMastery				"Earth Mastery"
EarthMasteryDesc			"Enhances the following earth skills:\n$$BarkskinSkillName$$, $$StrengthOfStoneSkillName$$, $$Earthquake$$,\n$$Weakness$$, $$EarthLinkSkillName$$, and $$NaturesRevengeSkillName$$."

// Warlock skills

OnlyOneCurse				"An enemy can only have 1 curse at a time."

ShadowBoltSkillName			"Shadow Bolt"
ShadowBoltSkillDesc			"A magic damage attack spell."
ChaosLordSkillName			"Summon Chaos Lord"
ChaosLordSkillDesc			"Summons a Chaos Lord. Can only control\none demon type at a time.  Each skill level\nincreases the Chaos Lord level by 1."
ScreeSkillName				"Summon Scree"
ScreeSkillDesc				"Summons a Scree. Can only control one demon type\nat a time.  Each skill level increases the Scree\nlevel by 1. Max count increases every 2 skill levels."
FurySkillName				"Summon Fury"
FurySkillDesc				"Summons a Fury. Can only control one demon type\nat a time.  Each skill level increases the Fury\nlevel by 1. Max count increases every 4 skill levels."
DemonMasterySkillName			"Demon Mastery"
DemonMasterySkillDesc			"Enhances the following demon skills:\n$$ChaosLordSkillName$$, $$ScreeSkillName$$, and $$FurySkillName$$\nEach skill level raises summoned demons damage by 4%."
CurseOfEnfeeblementSkillName		"Curse of Enfeeblement"
CurseOfEnfeeblementSkillDesc		"Target causes less damage for a short period.\n$$OnlyOneCurse$$"
CurseOfPainSkillName			"Curse of Pain"
CurseOfPainSkillDesc			"Slows down the target's attack for a short period.\n$$OnlyOneCurse$$"
CurseOfVulnerabilitySkillName		"Curse of Vulnerability"
CurseOfVulnerabilitySkillDesc		"Makes target more susceptible to fire, cold,\npoison and lightning for a short period.\n$$OnlyOneCurse$$"
CurseOfStammerSkillName			"Curse of Stammer"
CurseOfStammerSkillDesc			"Increases the target's spell cast time for a short period.\n$$OnlyOneCurse$$"
DarkSacrificeSkillName			"Dark Sacrifice"
DarkSacrificeSkillDesc			"Converts health into mana.\nBeware: this can kill you!"

// Necromancer skills

ManaGenNecromancer			"Soul Harvest"
ManaGenNecromancerDesc			"Gain mana from each kill."
BoltOfGloomSkillName			"Bolt of Gloom"
BoltOfGloomSkillDesc			"This fire damage spell also makes\nthe enemy easier to hit for a short period."
BoneShatterSkillName			"Bone Shatter"
BoneShatterSkillDesc			"When a victim dies from this, they become a\ngrenade and explode, hurting others nearby."
DiseaseCloudSkillName			"Disease Cloud"
DiseaseCloudSkillDesc			"A cloud of disease weakens nearby\nmonsters' attacks and defense. The\nmore points the longer the effect."
DespairSkillName			"Despair"
DespairSkillDesc			"Despairing enemies have slower movement,\nlonger cast times, and cause less damage,\nthus making them easier to kill."
BlightSkillName				"Blight"
BlightSkillDesc				"An area spell causing continual damage\nto all nearby enemies for a moment."
DarkRitualSkillName			"Dark Ritual"
DarkRitualSkillDesc			"Increases all of your pets' damage to enemies."
SkeletonSkillName			"Raise Skeleton"
SkeletonSkillDesc			"Raises a Skeleton from a dead body.\nMax count increases every 2 skill levels."
SkeletonArcherSkillName			"Raise Skeleton Archer"
SkeletonArcherSkillDesc			"Raises a Skeleton Archer from a dead body.\nMax count increases every 4 skill levels."
RaiseDeadSkillName			"Raise Dead"
RaiseDeadSkillDesc			"Raises a dead monster to be your slave.\nMax count increases every 4 skill levels."
LichSkillName				"Lich"
LichSkillDesc				"Become a Lich and enhance the following skeleton skills:\n$$SkeletonSkillName$$, $$SkeletonArcherSkillName$$, and $$RaiseDeadSkillName$$.\nEach skill level raises your undead minion's health by 5%."

// Sorcerer skills

LightningBlast				"Lightning Blast"
LightningBlastDesc			"A blast of lighting."
ChainLightning				"Chain Lightning"
ChainLightningDesc			"A blast of lightning that can chain from\none victim to the next up to 3 times."
BallLightning				"Ball Lightning"
BallLightningDesc			"A ball of energy shoots lightning bolts\nat your enemies for 10 seconds. The\nspecified damage is spread over 5\nlightning bolts."
ThunderboltSkillName			"Thunderbolt"
ThunderboltSkillDesc			"Blast of thunder damages your enemy."
LightningSwarmSkillName			"Lightning Swarm"
LightningSwarmSkillDesc			"Looses a bunch of lightning bolts that move\nrandomly. Each skill level increases the\nnumber of bolts by 1."
ShockWaveSkillName			"Shock Wave"
ShockWaveSkillDesc			"This powerful wave of air has a good chance to stun your foes."
TornadoSkillName			"Tornado"
TornadoSkillDesc			"A huge swirling wind of death traps targets\nand hurts them.  Damage specified occurs\nover 5 seconds."
GaseousFormSkillName			"Gaseous Form"
GaseousFormSkillDesc			"Change your form from a solid to a gas, making\nyou very hard to hurt. This does not let you\nmove through objects though."
StoredLightningSkillName		"Stored Lightning"
