
// General

QuestSlotEmpty				"Emplacement de quête vide"
QuestTextBossDin4			"Sur ordre du dieu Mortus, ##1## a ramene l'ordre parmi nos ennemis. Mortus detruira la ville, a moins que vous ne detruisiez son mignon, ##1##."
QuestTextBossDin5			"La deesse malefique Valta a sali une autre ame a sa cause dans ##1##. Ses desseins doivent etre arretes a tout prix. Allez tuer ##1## avant qu'il ne soit trop tard !"


// Assassin

QuestAnnounceAssassin			"##1## a ete apercu en ville"
QuestAnnounceAssassinFromMonsterScout	"The ##2## scout led the assassin ##1## to town"
QuestAnnounceAssassinFromMonsterHunter	"A ##2## hunter sent the assassin ##1## to town"
QuestAnnounceAssassinFromBoss		"##2## has sent the assassin ##1## to town!"
QuestAnnounceAssassinFromUniqueMonsterSpotted		"##2## has sent the assassin ##1## to town!"
QuestAnnounceAssassinFromKillMonsterGroup		"##2##'s group has sent the assassin ##1## to town!"
QuestAnnounceAssassinFromRenegade	"The renegade ##2## has sent the assassin ##1## to town!"
QuestAnnounceAssassinFromQuestUniqueReconTotem	"Helped by a recon totem, the assassin ##1## has snuck into town!"
QuestAnnounceAssassinFromQuestDinUniqueAltarValta	"Due to the influence of Valta's Altar, the assassin ##1## has snuck into town!"

QuestTextAssassin1			"##1## has been spotted in town.  Go kill him before he hurts anyone!"
QuestTextAssassin2			"##1## has been seen in town.  Kill him before he has a chance to hurt us!"
QuestTextAssassin3			"##1## has been in town.  He must be killed before he murders someone!"

// Town Traps

QuestAnnounceTownTraps				"Someone has set up traps in the town!"
QuestAnnounceTownTrapsFromAssassin		"The assassin ##1## has set up traps in the town!"		
QuestAnnounceTownTrapsFromMonsterScout		"The ##1## scout has set up traps in the town!"		
QuestAnnounceTownTrapsFromRenegadeAttack	"The renegade ##1## has set up traps in the town!"		

// Dungeon traps

QuestAnnounceDungeonTraps			"Someone has set up traps in ##2##!"
QuestAnnounceDungeonTrapsFromMonsterHunter	"A ##1## hunter has set up traps in ##2##!"

// Monster scout

QuestAnnounceMonsterScout		"A ##1## scout has been spotted in town."
QuestAnnounceMonsterScoutFromBoss			"##2## has sent a ##1## scout to town."
QuestAnnounceMonsterScoutFromUniqueMonsterSpotted	"##2## has sent a ##1## scout to town."
QuestAnnounceMonsterScoutFromKillMonsterGroup		"##2##'s group has sent a ##1## scout to town."
QuestAnnounceMonsterScoutFromRenegade	"The renegade ##2## has sent a ##1## scout to town."
QuestAnnounceMonsterScoutFromMonsterHunter	"A ##2## hunter has sent a ##1## scout to town."

QuestTitleMonsterScout			"Tuer l'eclaireur ##1##"
QuestTextMonsterScout1			"Un eclaireur ##1## a ete repere en ville.  Allez le tuer avant qu'il ne cause du grabuge !"
QuestTextMonsterScout2			"Un eclaireur ##1## a ete vu en ville.  Tuez-le avant que des proplemes n'apparaissent !"
QuestTextMonsterScout3			"You'll never guess what found a way into town!  A ##1## scout.  Someone has to kill it!"
QuestKilledMonsterScout			"L'eclaireur ##1## a ete tue."

// Monster hunter

QuestAnnounceMonsterHunter		"A ##1## hunter has been spotted in ##2##."
QuestAnnounceMonsterHunterFromBoss			"##3## has sent a ##1## hunter to ##2##."
QuestAnnounceMonsterHunterFromUniqueMonsterSpotted	"##3## has sent a ##1## hunter to ##2##."
QuestAnnounceMonsterHunterFromKillMonsterGroup		"##3##'s group has sent a ##1## hunter to ##2##."

QuestTitleMonsterHunter			"Tuer le chasseur ##1##"
QuestTextMonsterHunter1			"A ##1## hunter has been spotted in ##2##.  Go kill it before it causes trouble! Beware: hunters move around a lot and are very fast."
QuestTextMonsterHunter2			"A ##1## hunter has been seen in ##2##.  Kill it before trouble starts! Beware: hunters move around a lot and are very fast."
QuestKilledMonsterHunter		"##1## hunter has been killed."

// Monster slayer

QuestAnnounceMonsterSlayer		"##1##, un tueur, a ete repere dans ##2##."
QuestTitleMonsterSlayer			"Tuer ##1## le tueur"
QuestTextMonsterSlayer			"##1##, un tueur, a ete repere dans ##2##.  Allez le tuer avant qu'il ne cause des degats ! Prenez garde : les tueurs se deplacent beaucoup et sont tres rapides."
QuestKilledMonsterSlayer		"##1## le tueur a ete tue."

// Monster item

QuestAnnounceMonsterQuestItem		"La ville a besoin de davantage de ##2## de ##1##s\n"
QuestTitleMonsterQuestItem		"Trouver ##1## ##3## de ##2##"
QuestTextMonsterQuestItemWarning	"We need high quality supplies, so it might take multiple monsters to find each good one."
QuestTextMonsterQuestItem1		"The town is low on provisions; find ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"
QuestTextMonsterQuestItem2		"The town needs more supplies, seek ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"
QuestTextMonsterQuestItem3		"The last bombardment destroyed some of our stores. Gather ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"
QuestTextMonsterQuestItem4		"The war has taken a toil on our resources and we have few means to gather more.  Please gather ##1## ##2## ##3##.  $$QuestTextMonsterQuestItemWarning$$"

QuestTextArmorsmithMonsterQuestItem1	"I'm low on supplies, find me ##1## ##2## ##3##."
QuestTextArmorsmithMonsterQuestItem2	"I need more materials, bring me ##1## ##2## ##3##."
QuestTextArmorsmithMonsterQuestItem3	"I doubt anyone can help, but I really need ##1## ##2## ##3##."
QuestTextArmorsmithMonsterQuestItem4	"I've run out of some of the supplies I need to enchant the armor that I forge.  Find me ##1## ##2## ##3##."
QuestTextWeaponsmithMonsterQuestItem1	"I'm low on supplies, find me ##1## ##2## ##3##."
QuestTextWeaponsmithMonsterQuestItem2	"I need more materials, find me ##1## ##2## ##3##."
QuestTextWeaponsmithMonsterQuestItem3	"If anyone can help me, you can! Bring me ##1## ##2## ##3##."
QuestTextWeaponsmithMonsterQuestItem4	"I use a lot of ingredients from different monster species when I forge weapons.  Unfortunately I have run out of some.  Find me ##1## ##2## ##3##."

QuestEventGatherSuccessMonsterItem	"##1## has gathered the ##2## ##3##s needed"
QuestEventGatherFailureMonsterItem	"##1## attempted to gather the ##2## ##3##s needed, but has died"
QuestEventGatherRescueMonsterItem	"##1## attempted to gather the ##2## ##3##s needed, but now needs to be rescued"

QuestTextArmorsmithMonsterQuestUniqueItem1	"Je fabrique ##5## mais j'ai besoin de quelques ressources finales. Trouvez-moi ##1## ##3## de ##2## pour que je puisse achever mon projet. J'envisage de vendre l'armure apres sa realisation."
QuestTextWeaponsmithMonsterQuestUniqueItem1	"I'm making ##5## but I need some final supplies. Find me ##1## ##2## ##3## so I can complete my project. I'm planning on selling the weapon after it is completed."

// Monster item personal

QuestAnnounceMonsterQuestItemPersonal	"##3## a besoin de davantage de ##2## de ##1##s\n"
QuestTextMonsterQuestItemPersonal	"##4## a besoin de ##1## ##3## de ##2## pour un projet personnel."

QuestAnnounceMonsterQuestItemPersonalApothecary	"The apothecary needs more ##1## ##2##s\n"
QuestTextMonsterQuestItemPersonalApothecary	"The apothecary needs ##1## ##2## ##3## for a personal project."

QuestAnnounceMonsterQuestItemPersonal2	"##3## needs more ##1## ##2##s\n"
QuestTextMonsterQuestItemPersonal2	"I really don't need any more ##3##s, I just really hate ##2##s."

// Scout

QuestTitleScoutLocation			"Eclaireur ##1##"
QuestTextScoutLocation1			"We haven't heard anything from ##1## lately.  Go scout ##1##."
QuestTextScoutLocation2			"We've lost contact with ##1##.  Go scout ##1##."
QuestTextScoutLocation3			"We don't know what's happening in ##1##.  Go scout ##1##."

// Delivery

QuestAnnounceDelivery			"An important delivery needs to be made to ##1##"
QuestAnnounceRetrieve			"An important delivery needs to be picked up from ##1##"
QuestTitleDeliverySimple		"Deliver package"
QuestTitleDelivery			"Deliver package to ##1##"
QuestTitleRetrieve			"Retrieve information from ##1##"
QuestTextDelivery1			"You must deliver package to ##1##."
QuestTextDelivery2			"Can you deliver this package to ##1##?"
QuestTextDelivery3			"A critical delivery needs to be made, but I don't think anyone else can get through.  Can you deliver this package to ##1## ?"
QuestTextDeliveryPreventWar		"I have very important information that might keep us out of war. Please delivery this information to ##1## as quickly as possible."
QuestTextDeliveryStartWar		"I have some information that might start a war between the monsters below us if we can deliver it in time. Please delivery this information to ##1##."
QuestTextDeliveryGetInfo		"##1## has some important information for us. Please go to ##1## and find out what is going on."
QuestKilledDelivery			"##1## was killed before the delivery was made!"

// DeliveryPersonal

QuestAnnounceDeliveryPersonal		"A personal delivery needs to be made to ##1##"
QuestTextDeliveryPersonal		"Can you deliver this package to ##1## for me, please?"
QuestAnnounceDeliverySmuggledGoods	"You just delivered smuggled goods!"
QuestTalkToDeliveryPersonal		"Talk to ##4## in town when the quest is completed.\n"

// War

QuestAnnounceWar			"The ##1##s have declared war on the ##2##s"
QuestAnnounceWarFromBoss		"##3## has led the ##1##s to declare war on the ##2##s"
QuestAnnounceWarFromUniqueMonsterSpotted	"##3## has led the ##1##s to declare war on the ##2##s"
QuestAnnounceWarFromDelivery		"We have caused a war! The ##1##s have declared war on the ##2##s"
QuestAnnounceWarFromUprising		"An uprising has led the ##1##s to declare war on the ##2##s"
QuestAnnounceWarFromQuestMonsterGathering	"A monster gathering has led the ##1##s to declare war on the ##2##s"
QuestAnnounceWarFromQuestAreaOverrun		"An overrun area has led the ##1##s to declare war on the ##2##s"
QuestAnnounceWarFromQuestUprisingBase		"From their base of operations, the ##1##s have declared war on the ##2##s"
QuestAnnounceWarFromQuestMonsterQuestBase	"From their secret base of operations, the ##1##s have declared war on the ##2##s"
QuestAnnounceWarFromQuestDinUniqueAltarKracht	"Due to the influence of Kracht's Altar, the ##1##s have declared war on the ##2##s"

QuestEventEndWar			"Les ##1##s et les ##2##s ont cesse leur guerre"
QuestEventWonWar			"The ##1##s have won their war against the ##2##s"
QuestEventWarWar			"The ##1##s have joined the ##2##s in a war against the ##3##s"

// WarAgainstBarbarians

QuestAnnounceWarAgainstBarbarians	"We are now at war with the ##1##."
QuestAnnounceWarAgainstBarbariansFromRenegade	"The renegade ##2## has gotten us into a war with the ##1##."
QuestAnnounceWarAgainstBarbariansFromDelivery	"Our delivery failed, we are now at war with the ##1##."
QuestAnnounceWarAgainstBarbariansFromQuestMeetingTruce	"The truce meeting when badly, we are now at war with the ##1##."
QuestAnnounceWarAgainstBarbariansFromQuestMonsterGathering	"Due to a monster gathering, we are now at war with the ##1##."
QuestAnnounceWarAgainstBarbariansFromQuestDinUniqueAltarKracht	"Due to the influence of Kracht's Altar, we are now at war with the ##1##."

QuestTitleWarAgainstBarbarians		"Guerre avec ##1##"
QuestTextWarAgainstBarbarians1		"The ##1## and the town are in the state of war.  Go slaughter ##1## until they flee in fear!"
QuestTextWarAgainstBarbarians2		"The ##1## have declared war on the town.  Go destroy them!  Kill enough of ##1## and they will retreat."
QuestTextWarAgainstBarbarians3		"Someday our enemies will realize that they are puny compared to the us.  We are now at war with the ##1##.  Kill them until they leave us alone."

QuestAnnounceWarAgainstBarbariansDin	"The ##1## have declared a secret war on the town!"
QuestTextWarAgainstBarbariansDin	"The ##1## and the town are now in the state of war. The problem is the town doesn't even know. Go slaughter ##1## until they flee in fear!"

// Ghost revenge

QuestTitleGhostRevenge			"Venger la mort de ##1##"
QuestTextGhostRevenge1			"Je m'appelle ##1##.  J'ai ete tue(e) par ##2## et je dois avoir ma vengeance.  Allez tuer ##2##. ##2## est un ##4##."
QuestTextGhostRevenge2			"##1## etait mon nom avant que ##2## ne m'assassine.  Mon esprit est enferme ici jusqu'a ce que ##2## paye pour ce qu'il a fait.  Tuez ##2##. ##2## est un ##4##."

// Revenge

QuestTitleRevenge			"Venger la mort du (/de la) ##2## de ##1##"
QuestTextRevenge			"##1## a tue mon (/ma) ##2##.  Allez tuer ##1##.  ##1## est un ##4##."
//QuestTextRevenge1			"##1## a tue mon (/ma) ##2##.  Allez tuer ##1##.  ##1## est un ##4##."
//QuestTextRevenge2			"Mon (/ma) cher(e) ##2## a ete assassine par ##1##.  Tuez ##1## pour moi !  ##1## est un ##4##."
//QuestTextRevenge3			"Quand le malefique ##1## a tue mon (/ma) ##2##, j'ai pense que je ne pourrais pas continuer a vivre.  Je dois avoir ma vengeance ! Allez tuer ##1##.  ##1## est un ##4##."
QuestKilledRevenge			"##1## (quete de vengeance) est mort !"
QuestAnnounceRevengeTraitor		"##1## est un traitre et a essaye de nous faire tuer !"

RevengeMother				"mere"
RevengeSister				"soeur"
RevengeDaughter				"fille"
RevengeAunt				"tante"
RevengeFather				"pere"
RevengeBrother				"frere"
RevengeSon				"fils"
RevengeUncle				"oncle"

// Monster quest

QuestTextMonsterQuest1			"Les ##1## nous ont trahis.  We may think better of your kind if you kill ##2## ##1## pour nous aider a nous en sortir."
QuestTextMonsterQuest2			"Do you like the ##1##?  Neither do we.  Go kill ##2## ##1## and maybe we can come to a truce of some kind."
QuestTextMonsterQuest3			"The ##1## are monster hugging vile disgusting scum of lowest dirty fungus!  Kill ##2## ##1## if you agree, and maybe we'll reconsider our relationship with your kind."
QuestMonsterQuestTruce			"The ##1##s have declared a truce with the town!\n"

// Escort

QuestAnnounceEscort			"##1## needs an escort from ##2## to ##3##"
QuestTitleEscort			"Escorter ##1##"
QuestTextEscort1			"Escortez ##1## de ##2## a ##3##."
QuestTextEscort2			"If you're going to be in ##2##, ##1## needs to be escorted to ##3##."
QuestTextEscort3			"Pouvez-vous escorter ##1## de ##2## a ##3## ?"
QuestTextEscort4			"The lands have become extremely dangerous. ##1## needs an escort from ##2## to ##3##."
QuestKilledEscort			"##1## was not escorted safely and has died!"

// Renegade

QuestAnnounceRenegade			"##1## est devenu renegat"
QuestAnnounceRenegadeFromEscort		"##1## has betrayed us and gone renegade"
QuestAnnounceRenegadeFromRescueNpc	"##1## has betrayed us and gone renegade"
QuestAnnounceRenegadeFromMonsterQuestItem	"##1## has betrayed us and gone renegade"
QuestAnnounceRenegadeFromLevelQuestItem	"##1## has betrayed us and gone renegade"

QuestTitleRenegade			"Tuer le renegat ##1##"
QuestTextRenegade1			"##1## has gone renegade.  Kill ##2## quickly!"
QuestTextRenegade2			"##1## has become a renegade.  ##3## must be stopped!"
QuestTextRenegade3			"The renegade, ##1##, has been seen.  Go kill ##2##!"
QuestEventRecruitRenegade		"The renegade ##1## has recruited ##2##!"
QuestKilledRenegade			"The ##2## ##1## has been killed."
QuestCovKillRenegade			"##1## covenant has killed the renegade ##2##"
QuestMalePronounRenegade1		"le"
QuestFemalePronounRenegade1		"la"
QuestMalePronounRenegade2		"Il"
QuestFemalePronounRenegade2		"Elle"

// Renegade attack

QuestAnnounceRenegadeAttack		"Le renegat ##1## attaque la ville"

QuestTextRenegadeAttack1		"Le renegat ##1## attaque la ville.  Allez #2## tuer !"
QuestTextRenegadeAttack2		"##1##, le renegat, attaque la ville. Tuez ##2## !"
QuestTextRenegadeAttack3		"La ville est attaquee parle renegat, ##1##.  ##3## doit mourir !"
QuestMalePronounRenegadeAttack1		"le"
QuestFemalePronounRenegadeAttack1	"la"
QuestMalePronounRenegadeAttack2		"Il"
QuestFemalePronounRenegadeAttack2	"Elle"

// Poisoned supply

PoisonedSupplyFood			"de nourriture"
PoisonedSupplyWater			"d'eau"

QuestAnnouncePoisonedSupply		"Les reserves ##1## ont ete empoisonnees. Les prix ont augmente."
QuestAnnouncePoisonedSupplyFromPoisonedSupply	"Les reserves ##1## ont ete empoisonnees (contamination des reserves empoisonnees). Les prix ont augmente."
QuestAnnouncePoisonedSupplyFromRenegadeAttack	"The renegade ##2## has poisoned the ##1## supply. Prices have gone up."
QuestAnnouncePoisonedSupplyFromAssassin		"The assassin ##2## has poisoned the ##1## supply. Prices have gone up."
QuestAnnouncePoisonedSupplyFromTownAttack	"The ##2## town attack has poisoned the ##1## supply. Prices have gone up."

QuestTitlePoisonedSupply		"The ##1## supply has been poisoned"
QuestTextPoisonedSupply			"The ##1## supply has been poisoned.  Go find ##2## ##3## so that we can fix the ##1##"
//QuestTextPoisonedSupply1			"The ##1## supply has been poisoned.  Go find ##2## ##3## so that we can fix the ##1##"
//QuestTextPoisonedSupply2			"Poison was found contaminating the ##1## supply.  Find ##2## ##3## so we can cleanse the ##1##"
//QuestTextPoisonedSupply3			"The ##1## stores has been tainted with poisoned.  I need ##2## ##3## to purify the ##1##"
QuestEventSupplyChange			"The ##1## supply situation has become worse."

// Petrify

QuestAnnouncePetrify			"##1## a ete petrifie.\n"
QuestAnnouncePetrifyFromRenegadeAttack	"##1## has been petrified by the renegade ##2##.\n"
QuestAnnouncePetrifyFromAssassin	"##1## has been petrified by the assassin ##2##.\n"

QuestTitlePetrify			"Guerissez ##1##"
QuestTextPetrify			"##1## a ete petrifie ! Ne vous inquietez pas. Nous pourrons le sauver lorsque vous nous apporterez ##2## ##4## de ##3##."
QuestKilledPetrify			"##1## a ete tue avant d'etre desenvoute de sa petrification !"

// Deadly poison

QuestAnnounceDeadlyPoison		"##1## has been poisoned!"
QuestAnnounceDeadlyPoisonFromRenegadeAttack	"##1## has been poisoned by the renegade ##2##!"
QuestAnnounceDeadlyPoisonFromAssassin		"##1## has been poisoned by the assassin ##2##!"
QuestAnnounceDeadlyPoisonFromTownAttack		"##1## has been poisoned by the ##2## town attack!"
QuestAnnounceDeadlyPoisonFromMonsterQuestItem	"Contaminated goods have poisoned ##1##!"
QuestAnnounceDeadlyPoisonFromLevelQuestItem	"Contaminated goods have poisoned ##1##!"

QuestTitleDeadlyPoison			"Soigner ##1##"
QuestTextDeadlyPoison			"##1## a ete empoisonne !  Pouvez-vous l'aider ? J'ai besoin de ##2## ##4## de ##3## pour le soigner."
QuestDeadlyPoisonLate			"##1## est mort d'un poison mortel !"
QuestKilledDeadlyPoison			"##1## was killed before being cured!"
DeadlyPoison				"Poison mortel"

// Plague

QuestAnnouncePlague			"The plague has broken out in town!\n"
QuestAnnouncePlagueFromAssassin		"The assassin ##1## has spread the plague in town!\n"
QuestAnnouncePlagueFromRenegadeAttack	"The renegade ##1## has spread the plague in town!\n"
QuestAnnouncePlagueFromTownAttack	"The town attackers have spread the plague in town!\n"

QuestTitlePlague			"Enrayez la peste"
QuestTextPlague1			"The town has the plague!.  Go find ##1## ##2## ##3## so I can cure it."
QuestTextPlague2			"The plague has come to the town!  To cure it, I need ##1## ##2## ##3##."
QuestTextPlague3			"The town has become infected with the plague!. Not only are people getting sick but food is much more expensive now. Bring me ##1## ##2## ##3## so we can cure it."
QuestEventPlagueSpread			"##1## has caught the plague.\n"
Plague					"Peste"

// Town curse

QuestAnnounceCurse			"La ville a ete maudite !\n"
QuestAnnounceCurseFromAssassin		"The assassin ##1## has cursed the town!\n"
QuestAnnounceCurseFromRenegadeAttack	"The renegade ##1## has cursed the town!\n"
QuestAnnounceCurseFromTownAttack	"The town attackers have cursed the town!\n"

QuestTitleCurse				"Lever la malediction"
QuestTextCurse				"La ville a ete maudite !  Allez trouver ##1## ##3## de ##2## pour que je puisse regler le probleme."
QuestEventCurseSpread			"##1## a ete maudit.\n"

QuestTextCurseDin			"No one in the town understands, but the town has been cursed!.  Go find ##1## ##2## ##3## so I can fix it."

// Town Attack

QuestAnnounceTownAttack			"##1## attaquent la ville !"
QuestAnnounceTownAttackFromBoss		"##2## a envoye ##1## attaquer la ville !"
QuestAnnounceTownAttackFromUniqueMonsterSpotted		"##2## sent ##1## to attack the town!"
QuestAnnounceTownAttackFromKillMonsterGroup		"##2##'s group sent ##1## to attack the town!"
QuestAnnounceTownAttackFromUprising	"Followers from an uprising of ##1## are attacking the town!"
QuestAnnounceTownAttackFromMonsterScout	"The ##2## scout led in a town attack of ##1##!"
QuestAnnounceTownAttackFromWarAgainstBarbarians	"Due to our war with the ##1## they are attacking the town!"
QuestAnnounceTownAttackFromQuestMonsterGathering	"Followers from a monster gathering of ##1## are attacking the town!"
QuestAnnounceTownAttackFromQuestAreaOverrun		"##1## from the area overrun are attacking the town!"
QuestAnnounceTownAttackFromQuestUprisingTownAttackPlan		"Failed to disrupt plan, ##1## are attacking the town!"
QuestAnnounceTownAttackFromQuestUprisingBase		"From their base of operations, the ##1## are attacking the town!"
QuestAnnounceTownAttackFromQuestUniqueReconTotem	"Helped by a recon totem, the ##1## are attacking the town!"
QuestAnnounceTownAttackFromQuestGetInfoTownAttack	"We failed to discover their plans, now the ##1## are attacking the town!"
QuestAnnounceTownAttackFromQuestMonsterQuestBlackmailAccepted	"We failed to honor their blackmail, now the ##1## are attacking the town!"

QuestAnnounceRaid			"##1## are raiding the town!"
QuestAnnounceRaidFromBoss		"##2## sent ##1## to raid the town!"
QuestAnnounceRaidFromUniqueMonsterSpotted		"##2## sent ##1## to raid the town!"
QuestAnnounceRaidFromKillMonsterGroup		"##2##'s group sent ##1## to raid the town!"
QuestAnnounceRaidFromUprising	"Followers from an uprising of ##1## are raiding the town!"
QuestAnnounceRaidFromMonsterScout	"The ##2## scout led in a raid of ##1##!"
QuestAnnounceRaidFromWarAgainstBarbarians	"Due to our war with the ##1## they are raiding the town!"
QuestAnnounceRaidFromQuestMonsterGathering	"Followers from a monster gathering of ##1## are raiding the town!"
QuestAnnounceRaidFromQuestAreaOverrun		"##1## from the area overrun are raiding the town!"
QuestAnnounceRaidFromQuestUprisingRaidPlan	"Failed to disrupt plan, ##1## are raiding the town!"
QuestAnnounceRaidFromQuestUprisingBase		"From their base of operations, the ##1## are raiding the town!"
QuestAnnounceRaidFromQuestUniqueReconTotem	"Helped by a recon totem, the ##1## are raiding the town!"
QuestAnnounceRaidFromQuestFindPlans1	"We failed to discover their plans, now the ##1## are raiding the town!"
QuestAnnounceRaidFromQuestGetInfoRaid	"We failed to discover their plans, now the ##1## are raiding the town!"
QuestAnnounceRaidFromQuestMonsterQuestBlackmail1	"Since we refused their blackmail, now the ##1## are raiding the town!"
QuestAnnounceRaidFromQuestMonsterQuestBase	"From their secret base of operations, the ##1## are raiding the town!"

QuestAnnounceInvasion			"##1## envahissent la ville !"
QuestAnnounceInvasionFromBoss		"##2## sent ##1## to invade the town!"
QuestAnnounceInvasionFromUniqueMonsterSpotted		"##2## sent ##1## to invade the town!"
QuestAnnounceInvasionFromKillMonsterGroup		"##2##'s group sent ##1## to invade the town!"
QuestAnnounceInvasionFromUprising	"Followers from an uprising of ##1## are invading the town!"
QuestAnnounceInvasionFromMonsterScout	"The ##2## scout led in a invasion of ##1##!"
QuestAnnounceInvasionFromWarAgainstBarbarians	"Due to our war with the ##1## they are invading the town!"
QuestAnnounceInvasionFromQuestMonsterGathering	"Followers from a monster gathering of ##1## are invading the town!"
QuestAnnounceInvasionFromQuestAreaOverrun		"##1## from the area overrun are invading the town!"
QuestAnnounceInvasionFromQuestUprisingBase		"From their base of operations, the ##1## are invading the town!"

QuestEventGateOut			"Town attackers have gated out"
QuestEventTownAttackTownAttack		"Coordinated town attack!"
QuestSuccessTownAttack			"The attack on the town has been repelled"

// Thief

QuestAnnounceThief			"A thief has been spotted in town stealing items from the vendors!"
QuestAnnounceThiefFromRenegade		"The renegade ##1## has sent a thief into town!"
QuestAnnounceThiefFromQuestUniqueReconTotem	"Helped by a recon totem, a thief has snuck into town!"

QuestTitleThief				"Voleuse"
QuestTextThief1				"There is a thief skulking around town stealing from the vendors.  Go kill her."
QuestTextThief2				"A lowlife thief is stealing from the vendors.  Find her and kill her."
QuestTextThief3				"A scamp of a thief stole an amulet I was saving for!  She must be stopped before the vendors have nothing left.  Kill her."
QuestKilledThief			"The thief has been killed."
