Reward				"Recompense"
QuestItemPapersName			"Document secret"

// Progress

QuestProgressFailed			"Avancée : ^c001echec^c145\n"

QuestProgressKillMonsterFull		"Il reste ##1## ##2## a tuer\n"
QuestProgressKillMonsterPartial		"Avancée : Il en reste ##1## a tuer\n"

QuestProgressMonsterItemFull		"Il reste ##1## ##3## de ##2## a trouver\n"
QuestProgressMonsterItemPartial		"Avancée : Il en reste ##1## a trouver\n"

QuestProgressLevelItemFull		"Il reste ##1## ##2## a trouver\n"
QuestProgressLevelItemPartial		"Avancée : Il en reste ##1## a trouver\n"

QuestProgressMonsterGroupFull		"Il reste ##1## monstre##2## en groupe a tuer\n"
QuestProgressMonsterGroupPartial	"Avancée : Il reste ##1## monstre##2## en groupe a tuer\n"

QuestProgressClearLevel			"Il reste ##1## monstre##2## a tuer\n"

QuestProgressKillMonsterFull		"##1## ##2## restent a tuer\n"
QuestProgressKillMonsterPartial		"Avancée : Il en reste ##1## a tuer\n"

// Specific text

// KillMonsters

QuestTitleKillMonsters			"Tuer ##1## ##2##"
QuestTextKillMonsters1			"Prouvez que vous etes digne d'être un héros. Menez a bien cette tache."
QuestTextKillMonsters2			"Acceptez cette mission et prouvez votre courage."
QuestTextKillMonsters3			"Sécurisez la ville."
QuestTextKillMonsters4			"Nous devons nous venger !  Ils doivent mourir pour les vies qu'ils ont prises."
QuestTextKillMonsters5			"Les ##1## deviennent une énorme nuisance. Allez décimer leur nombre."

QuestTextKillMonstersDin1		"J'ai de quoi vous faire travailler et de continuer a vous laisser prouver votre valeur."

// Boss

QuestAnnounceBoss			"##1## est maintenant chef des ##2##"
QuestTitleBoss				"Tuer ##1## le chef"
QuestTextBoss				"##1## a pris les souterrains, allez tuer ##1##."
QuestEventOverthrowAttemptSucess	"##1## a renverse avec succès ##2##."
QuestEventOverthrowAttemptFailed	"##1## a échoue a renverser ##2##."

QuestTextBossDin1			"##1## a pris le souterrain. Plus important encore, la déesse Erillin a pris de l'intérêt a ##1##. Ne sous-estimez pas Erillin. Elle gagne du pouvoir par ces instruments du mal. Allez tuer ##1##."
QuestTextBossDin2			"##1## a acquis énormément d'adeptes. Le dieu Hamlec manie ##1## se glorifie de la destruction. Hamlec ne doit pas réussir. Tuez ##1##."
QuestTextBossDin3			"##1## a pris le commandement des souterrains, avec l'aide du dieu Kracht. Kracht se délecte de la guerre et gagnera du pouvoir par l'intermédiaire de ##1##. Vous devez arrêter ça en tuant ##1##."
QuestTextBossDin4			"Sur ordre du dieu Mortus, ##1## a ramène l'ordre parmi nos ennemis. Mortus détruira la ville, a moins que vous ne détruisiez son mignon, ##1##."
QuestTextBossDin5			"La déesse maléfique Valta a sali une autre âme a sa cause dans ##1##. Ses desseins doivent être arrêtes a tout prix. Allez tuer ##1## avant qu'il ne soit trop tard !"


// Assassin

QuestAnnounceAssassin			"##1## a été aperçu en ville"
QuestAnnounceAssassinFromMonsterScout	"L'éclaireur ##2## a mene l'assassin ##1## en ville."
QuestAnnounceAssassinFromMonsterHunter	"Un chasseur ##2## a amené l'assassin ##1## en ville."
QuestAnnounceAssassinFromBoss		"##2## a envoye l'assassin ##1##  en ville !"
QuestAnnounceAssassinFromUniqueMonsterSpotted		"##2## a envoye l'assassin ##1## en ville !"
QuestAnnounceAssassinFromKillMonsterGroup		"Le groupe de ##2## a envoye l'assassin ##1## en ville !"
QuestAnnounceAssassinFromRenegade	"Le renegat ##2## a envoye l'assassin ##1## en ville !"
QuestAnnounceAssassinFromQuestUniqueReconTotem	"Aide d'un totem de reconnaissance, l'assassin ##1## s'est faufile en ville !"
QuestAnnounceAssassinFromQuestDinUniqueAltarValta	"Grâce a l'influence de l'autel de Valta, l'assassin ##1## s'est faufile en ville !"

QuestTextAssassin1			"##1## a été repere en ville.  Allez le tuer avant qu'il ne blesse quelqu'un !"
QuestTextAssassin2			"##1## a été vu en ville.  Tuez-le avant qu'il n'ait une chance de nous blesser !"
QuestTextAssassin3			"##1## est venu en ville.  Il doit être tue avant qu'il n'assassine quelqu'un !"

// Town Traps

QuestAnnounceTownTraps				"Quelqu'un a dispose des pièges dans la ville !"
QuestAnnounceTownTrapsFromAssassin		"L'assassin ##1## a dispose des pièges dans la ville !"		
QuestAnnounceTownTrapsFromMonsterScout		"éclaireur ##1## a dispose des pièges dans la ville !"		
QuestAnnounceTownTrapsFromRenegadeAttack	"Le renegat ##1## a pose des pièges dans la ville !"		

// Dungeon traps

QuestAnnounceDungeonTraps			"Quelqu'un a pose des pièges dans ##2## !"
QuestAnnounceDungeonTrapsFromMonsterHunter	"Un chasseur ##1## a pose des pièges dans ##2## !"

// Monster scout

QuestAnnounceMonsterScout		"Un éclaireur ##1## a été repere en ville."
QuestAnnounceMonsterScoutFromBoss			"##2## a envoye un éclaireur ##1## en ville."
QuestAnnounceMonsterScoutFromUniqueMonsterSpotted	"##2## a envoye un éclaireur ##1## en ville."
QuestAnnounceMonsterScoutFromKillMonsterGroup		"Le groupe de ##2## a envoye un éclaireur ##1## en ville."
QuestAnnounceMonsterScoutFromRenegade	"Le renégat ##2## a envoye un éclaireur ##1## en ville."
QuestAnnounceMonsterScoutFromMonsterHunter	"Un chasseur ##2## a envoye un éclaireur ##1## en ville."

QuestTitleMonsterScout			"Tuer éclaireur ##1##"
QuestTextMonsterScout1			"Un éclaireur ##1## a été repere en ville.  Allez le tuer avant qu'il ne cause du grabuge !"
QuestTextMonsterScout2			"Un éclaireur ##1## a été vu en ville.  Tuez-le avant que des problèmes n'apparaissent !"
QuestTextMonsterScout3			"Vous ne devinerez jamais ce qui a trouve un passage jusqu'en ville !  Un éclaireur ##1##.  Quelqu'un doit le tuer !"
QuestKilledMonsterScout			"éclaireur ##1## a été tue."

// Monster hunter

QuestAnnounceMonsterHunter		"Un chasseur ##1## a été repere dans ##2##."
QuestAnnounceMonsterHunterFromBoss	"##3## a envoye un chasseur ##1## dans ##2##."
QuestAnnounceMonsterHunterFromUniqueMonsterSpotted	"##3## a envoye un chasseur ##1## dans ##2##."
QuestAnnounceMonsterHunterFromKillMonsterGroup		"Le groupe de ##3## a envoye un chasseur ##1## dans ##2##."

QuestTitleMonsterHunter			"Tuer le chasseur ##1##"
QuestTextMonsterHunter1			"Un chasseur ##1## a été repere dans ##2##.  Allez le tuer avant qu'il ne cause du grabuge ! Prenez garde : les chasseurs sont mobiles et très rapides."
QuestTextMonsterHunter2			"Un chasseur ##1## a été vu dans ##2##.  Tuez-le avant que des problèmes n'apparaissent ! Prenez garde : les chasseurs sont mobiles et très rapides."
QuestKilledMonsterHunter		"Le chasseur ##1## a été tue."

// Monster slayer

QuestAnnounceMonsterSlayer		"##1##, un tueur, a été repere dans ##2##."
QuestTitleMonsterSlayer			"Tuer ##1## le tueur"
QuestTextMonsterSlayer			"##1##, un tueur, a été repere dans ##2##.  Allez le tuer avant qu'il ne cause des degats ! Prenez garde : les tueurs se déplacent beaucoup et sont très rapides."
QuestKilledMonsterSlayer		"##1## le tueur a été tue."

// Monster item

QuestAnnounceMonsterQuestItem		"La ville a besoin de davantage de ##2## de ##1##s\n"
QuestTitleMonsterQuestItem		"Trouver ##1## ##3## de ##2##"
QuestTextMonsterQuestItemWarning	"Nous avons besoin de ressources de haute qualité, aussi ça peut nécessiter de multiples monstres pour en trouver de bonnes."
QuestTextMonsterQuestItem1		"Les provisions de la ville commencent a s'épuiser ; trouvez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"
QuestTextMonsterQuestItem2		"La ville a besoin de davantage de fournitures. Cherchez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"
QuestTextMonsterQuestItem3		"Le dernier bombardement a détruit certains de nos greniers. Rassemblez ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"
QuestTextMonsterQuestItem4		"La guerre nous a vole les fruits de notre labeur et nous avons peu de moyens d'en rassembler davantage.  Veuillez réunir ##1## ##3## de ##2##.  $$QuestTextMonsterQuestItemWarning$$"

QuestTextArmorsmithMonsterQuestItem1	"Je serai bientôt a court de ressources. Trouvez-moi ##1## ##3## de ##2##."
QuestTextArmorsmithMonsterQuestItem2	"J'ai besoin de davantage de matériaux. Rapportez-moi ##1## ##3## de ##2##."
QuestTextArmorsmithMonsterQuestItem3	"Je doute que personne puisse m'aider, mais j'ai vraiment besoin de ##1## ##3## de ##2##."
QuestTextArmorsmithMonsterQuestItem4	"Je suis a court de certaines fournitures dont j'ai besoin pour enchanter l'armure que je forge.  Trouvez-moi ##1## ##3## de ##2##."
QuestTextWeaponsmithMonsterQuestItem1	"Je manque de provisions. Trouvez-moi ##1## ##3## de ##2##."
QuestTextWeaponsmithMonsterQuestItem2	"J'ai besoin de davantage de matériaux Trouvez-moi ##1## ##3## de ##2##."
QuestTextWeaponsmithMonsterQuestItem3	"Si quelqu'un peut m'aider, c'est vous ! Ramenez-moi ##1## ##3## de ##2##."
QuestTextWeaponsmithMonsterQuestItem4	"J'utilise un tas d'ingrédients a partir de différentes espèces de monstres quand je forge des armes.  Malheureusement, je suis a court de certains.  Trouvez-moi ##1## ##3## de ##2##."

QuestEventGatherSuccessMonsterItem	"##1## a rassemble les ##2## ##3##s nécessaires"
QuestEventGatherFailureMonsterItem	"##1## a essaye de rassembler les ##2## ##3##s requis(es), mais est mort"
QuestEventGatherRescueMonsterItem	"##1## a essaye de rassembler les ##2## ##3##s nécessaires, mais a maintenant besoin être secouru"

QuestTextArmorsmithMonsterQuestUniqueItem1	"Je fabrique ##5## mais j'ai besoin de quelques ressources finales. Trouvez-moi ##1## ##3## de ##2## pour que je puisse achever mon projet. J'envisage de vendre l'armure après sa réalisation."
QuestTextWeaponsmithMonsterQuestUniqueItem1	"Je fabrique ##5## mais j'ai besoin de quelques fournitures finales. Trouvez-moi ##1## ##3## de ##2## pour que je puisse achever mon projet. Je compte vendre l'arme une fois terminee."

// Monster item personal

QuestAnnounceMonsterQuestItemPersonal	"##3## a besoin de davantage de ##2## de ##1##s\n"
QuestTextMonsterQuestItemPersonal	"##4## a besoin de ##1## ##3## de ##2## pour un projet personnel."

QuestAnnounceMonsterQuestItemPersonalApothecary	"L'apothicaire a besoin de davantage de ##2## de ##1##s\n"
QuestTextMonsterQuestItemPersonalApothecary	"L'apothicaire a besoin de ##1## ##3## de ##2## pour un projet personnel."

QuestAnnounceMonsterQuestItemPersonal2	"##3## a besoin de davantage de ##2## de ##1##s\n"
QuestTextMonsterQuestItemPersonal2	"J'ai vraiment plus que besoin de ##3##s, je déteste tellement les ##2##s."

// Scout

QuestTitleScoutLocation			"Éclaireur ##1##"
QuestTextScoutLocation1			"Nous sommes sans nouvelles de ##1## dernièrement.  Allez chercher ##1##."
QuestTextScoutLocation2			"Nous avons perdu le contact avec ##1##.  Allez le chercher ##1##."
QuestTextScoutLocation3			"Nous ne savons pas ce qui arrive a ##1##.  Allez chercher ##1##."

// Delivery

QuestAnnounceDelivery			"Une importante livraison a besoin être faite a ##1##"
QuestAnnounceRetrieve			"Une importante livraison a besoin être recuperee auprès de ##1##"
QuestTitleDeliverySimple		"Livrer le paquet"
QuestTitleDelivery			"Livrer le paquet a ##1##"
QuestTitleRetrieve			"Recuperer des informations auprès de ##1##"
QuestTextDelivery1			"Vous devez livrer ce paquet a ##1##."
QuestTextDelivery2			"Pouvez-vous livrer ce paquet a ##1## ?"
QuestTextDelivery3			"Une livraison cruciale a besoin être faite, mais je ne crois pas que quiconque s'en tirerait.  Pouvez-vous livrer ce paquet a ##1## ?"
QuestTextDeliveryPreventWar		"J'ai une information très importante qui pourrait nous sortir de la guerre. S'il-vous-plait, remettez cette information a ##1## aussi vite que possible."
QuestTextDeliveryStartWar		"J'ai des informations qui pourraient déclencher une guerre entre les monstres au-dessous de nous si nous pouvons la remettre a temps. Veuillez remettre cette information a ##1##."
QuestTextDeliveryGetInfo		"##1## a des informations importantes pour nous. Veuillez vous rendre auprès de ##1## et découvrir ce qui se passe."
QuestKilledDelivery			"##1## a été tue avant que la livraison ait été faite !"

// DeliveryPersonal

QuestAnnounceDeliveryPersonal		"Une livraison personnelle a besoin être faite a ##1##"
QuestTextDeliveryPersonal		"Pouvez-vous livrer ce paquet a ##1## pour moi, s'il-vous-plait ?"
QuestAnnounceDeliverySmuggledGoods	"Vous venez de livrer des biens de contrebande !"
QuestTalkToDeliveryPersonal		"Parlez a ##4## en ville quand la quête sera accomplie.\n"

// War

QuestAnnounceWar			"Les ##1##s ont déclare la guerre aux ##2##s"
QuestAnnounceWarFromBoss		"##3## a incite les ##1##s a déclarer la guerre aux ##2##s"
QuestAnnounceWarFromUniqueMonsterSpotted	"##3## a incite les ##1##s a déclarer la guerre aux ##2##s"
QuestAnnounceWarFromDelivery		"Nous avons déclenché une guerre ! Les ##1##s ont déclare la guerre aux ##2##s"
QuestAnnounceWarFromUprising		"Un soulèvement a incite les ##1##s a déclarer la guerre aux ##2##s"
QuestAnnounceWarFromQuestMonsterGathering	"Un rassemblement de monstres a incite les ##1##s a déclarer la guerre aux ##2##s"
QuestAnnounceWarFromQuestAreaOverrun		"Une zone envahie a amene les ##1##s a déclarer la guerre aux ##2##s"
QuestAnnounceWarFromQuestUprisingBase		"Depuis leur base d'opérations, les ##1##s ont déclare la guerre aux ##2##s"
QuestAnnounceWarFromQuestMonsterQuestBase	"Depuis leur base secrète opérations, les ##1##s ont déclare la guerre aux ##2##s"
QuestAnnounceWarFromQuestDinUniqueAltarKracht	"En raison de l'influence de l'Autel de Kracht, les ##1##s ont déclare la guerre aux ##2##s"

QuestEventEndWar			"Les ##1##s et les ##2##s ont cesse leur guerre"
QuestEventWonWar			"Les ##1##s ont remporte leur guerre contre les ##2##s"
QuestEventWarWar			"Les ##1##s se sont joints aux ##2##s dans une guerre contre les ##3##s"

// WarAgainstBarbarians

QuestAnnounceWarAgainstBarbarians	"Nous sommes a présent en guerre avec les ##1##."
QuestAnnounceWarAgainstBarbariansFromRenegade	"Le renégat ##2## nous a entraines dans une guerre avec les ##1##."
QuestAnnounceWarAgainstBarbariansFromDelivery	"Notre livraison a échoue, nous sommes désormais en guerre avec les ##1##."
QuestAnnounceWarAgainstBarbariansFromQuestMeetingTruce	"La réunion de trêve a mal tourne, et nous sommes maintenant en guerre avec les ##1##."
QuestAnnounceWarAgainstBarbariansFromQuestMonsterGathering	"En raison d'un regroupement de monstres, nous sommes maintenant en guerre avec les ##1##."
QuestAnnounceWarAgainstBarbariansFromQuestDinUniqueAltarKracht	"En raison de l'influence de l'Autel de Kracht, nous sommes maintenant en guerre avec les ##1##."

QuestTitleWarAgainstBarbarians		"Guerre avec ##1##"
QuestTextWarAgainstBarbarians1		"Les ##1## et la ville sont en état de guerre.  Allez tuer des ##1## jusqu'a qu'ils ne se sauvent terrorises !"
QuestTextWarAgainstBarbarians2		"Les ##1## ont déclare la guerre a la ville.  Allez les détruire !  Tuez suffisamment de ##1## et ils battront en retraite."
QuestTextWarAgainstBarbarians3		"Un jour, nos ennemis réaliseront qu'ils sont piteux compares a nous.  Nous sommes maintenant en guerre avec les ##1##.  Tuez-les jusqu'à ce qu'ils nous laissent seuls."

QuestAnnounceWarAgainstBarbariansDin	"Les ##1## ont déclare une guerre secrète a la ville !"
QuestTextWarAgainstBarbariansDin	"Les ##1## et la ville sont maintenant en état de guerre. Le problème est que la ville ne le sait même pas. Allez massacrer des ##1## jusqu'a ce qu'ils fuient terrorises !"

// Ghost revenge

QuestTitleGhostRevenge			"Venger la mort de ##1##"
QuestTextGhostRevenge1			"Je m'appelle ##1##.  J'ai été tue(e) par ##2## et je dois avoir ma vengeance.  Allez tuer ##2##. ##2## est un ##4##."
QuestTextGhostRevenge2			"##1## était mon nom avant que ##2## ne m'assassine.  Mon esprit est enferme ici jusqu'a ce que ##2## paye pour ce qu'il a fait.  Tuez ##2##. ##2## est un ##4##."

// Revenge

QuestTitleRevenge			"Venger la mort du (/de la) ##2## de ##1##"
QuestTextRevenge			"##1## a tue mon (/ma) ##2##.  Allez tuer ##1##.  ##1## est un ##4##."
//QuestTextRevenge1			"##1## a tue mon (/ma) ##2##.  Allez tuer ##1##.  ##1## est un ##4##."
//QuestTextRevenge2			"Mon (/ma) cher(e) ##2## a été assassine par ##1##.  Tuez ##1## pour moi !  ##1## est un ##4##."
//QuestTextRevenge3			"Quand le maléfique ##1## a tue mon (/ma) ##2##, j'ai pense que je ne pourrais pas continuer a vivre.  Je dois avoir ma vengeance ! Allez tuer ##1##.  ##1## est un ##4##."
QuestKilledRevenge			"##1## (quête de vengeance) est mort !"
QuestAnnounceRevengeTraitor		"##1## est un traître et a essaye de nous faire tuer !"

RevengeMother				"mere"
RevengeSister				"soeur"
RevengeDaughter				"fille"
RevengeAunt				"tante"
RevengeFather				"pere"
RevengeBrother				"frère"
RevengeSon				"fils"
RevengeUncle				"oncle"

// Monster quest

QuestTextMonsterQuest1			"Les ##1## nous ont trahis.  Nous pourrions penser plus de bien de votre espèce si vous tuez ##2## ##1## pour nous aider a nous en sortir."
QuestTextMonsterQuest2			"Vous aimez les ##1## ?  Nous non plus.  Allez tuer ##2## ##1## et être pourrons-nous parvenir a une trêve quelconque."
QuestTextMonsterQuest3			"Les ##1## sont la lie vile et dégoûtante des plus sales fungi colles aux monstres !  Tuez ##2## ##1## si vous l'acceptez, et être que nous reconsidérerons notre relation avec votre espèce"
QuestMonsterQuestTruce			"Les ##1##s ont déclare une trêve avec la ville !\n"

// Escort

QuestAnnounceEscort			"##1## a besoin d'une escorte de ##2## a ##3##"
QuestTitleEscort			"Escorter ##1##"
QuestTextEscort1			"Escortez ##1## de ##2## a ##3##."
QuestTextEscort2			"Si vous allez a ##2##, ##1## a besoin être escorte jusqu'a ##3##."
QuestTextEscort3			"Pouvez-vous escorter ##1## de ##2## a ##3## ?"
QuestTextEscort4			"Les terres sont devenues extrêmement dangereuses. ##1## a besoin d'une escorte de ##2## a ##3##."
QuestKilledEscort			"##1## n'a pas été escorte en sécurité et est mort !"

// Renegade

QuestAnnounceRenegade			"##1## est devenu renégat"
QuestAnnounceRenegadeFromEscort		"##1## nous a trahis et est devenu un renégat"
QuestAnnounceRenegadeFromRescueNpc	"##1## nous a trahis et est devenu un renégat"
QuestAnnounceRenegadeFromMonsterQuestItem	"##1## nous a trahis et est devenu renégat"
QuestAnnounceRenegadeFromLevelQuestItem	"##1## nous a trahis et est devenu renégat"

QuestTitleRenegade			"Tuer le renégat ##1##"
QuestTextRenegade1			"##1## est devenu renégat  Tuez ##2## rapidement !"
QuestTextRenegade2			"##1## est devenu renégat  ##3## doit être arrete !"
QuestTextRenegade3			"Le renégat, ##1##, a été aperçu  Allez ##2## tuer !"
QuestEventRecruitRenegade		"Le renégat ##1## a recrute ##2## !"
QuestKilledRenegade			"Le ##2## ##1## a été tue."
QuestCovKillRenegade			"Le covenant ##1## a tue le renégat ##2##"
QuestMalePronounRenegade1		"le"
QuestFemalePronounRenegade1		"la"
QuestMalePronounRenegade2		"Il"
QuestFemalePronounRenegade2		"Elle"

// Renegade attack

QuestAnnounceRenegadeAttack		"Le renégat ##1## attaque la ville"

QuestTextRenegadeAttack1		"Le renégat ##1## attaque la ville.  Allez #2## tuer !"
QuestTextRenegadeAttack2		"##1##, le renégat, attaque la ville. Tuez ##2## !"
QuestTextRenegadeAttack3		"La ville est attaquée parle renégat, ##1##.  ##3## doit mourir !"
QuestMalePronounRenegadeAttack1		"le"
QuestFemalePronounRenegadeAttack1	"la"
QuestMalePronounRenegadeAttack2		"Il"
QuestFemalePronounRenegadeAttack2	"Elle"

// Poisoned supply

PoisonedSupplyFood			"de nourriture"
PoisonedSupplyWater			"d'eau"

QuestAnnouncePoisonedSupply		"Les réserves ##1## ont été empoisonnées. Les prix ont augmente."
QuestAnnouncePoisonedSupplyFromPoisonedSupply	"Les réserves ##1## ont été empoisonnées (contamination des réserves empoisonnées). Les prix ont augmente."
QuestAnnouncePoisonedSupplyFromRenegadeAttack	"Le renégat ##2## a empoisonne les réserves ##1##. Les prix ont augmente."
QuestAnnouncePoisonedSupplyFromAssassin		"L'assassin ##2## a empoisonne les réserves ##1##. Les prix ont augmente."
QuestAnnouncePoisonedSupplyFromTownAttack	"L'attaque ##2## de la ville a empoisonne les réserves ##1##. Les prix ont augmente."

QuestTitlePoisonedSupply		"Les réserves ##1## empoisonnées"
QuestTextPoisonedSupply			"Les réserves ##1## ont été empoisonnées  Allez trouver ##2## ##3## pour que nous puissions régler le problème ##1##."
//QuestTextPoisonedSupply1			"Les réserves ##1## ont été empoisonnées  Allez trouver ##2## ##3## pour que nous puissions régler le problème ##1##."
//QuestTextPoisonedSupply2			"Du poison a été trouve qui contaminait les réserves ##1##.  Trouvez ##2## ##3## pour que nous nettoyions les réserves ##1##"
//QuestTextPoisonedSupply3			"Les entrepôts ##1## ont été souilles de poison.  J'ai besoin de ##2## ##3## pour purifier les stocks ##1##."
QuestEventSupplyChange			"La situation des réserves ##1## a empire."

// Petrify

QuestAnnouncePetrify			"##1## a été petrifie(e).\n"
QuestAnnouncePetrifyFromRenegadeAttack	"##1## a été petrifie(e)par le renégat ##2##.\n"
QuestAnnouncePetrifyFromAssassin	"##1## a été petrifie(e) par l'assassin ##2##.\n"

QuestTitlePetrify			"Guérissez ##1##"
QuestTextPetrify			"##1## a été petrifie(e) ! Ne vous inquiétez pas. Nous pourrons le (/la) sauver lorsque vous nous apporterez ##2## ##4## de ##3##."
QuestKilledPetrify			"##1## a été tue(e) avant être desenvoute(e) de sa pétrification !"

// Deadly poison

QuestAnnounceDeadlyPoison		"##1## a ete empoisonne(e) !"
QuestAnnounceDeadlyPoisonFromRenegadeAttack	"##1## a été empoisonne(e) par le renégat ##2## !"
QuestAnnounceDeadlyPoisonFromAssassin		"##1## a été empoisonne(e) par l'assassin ##2## !"
QuestAnnounceDeadlyPoisonFromTownAttack		"##1## a été empoisonne(e) par l'attaque ##2## de la ville !"
QuestAnnounceDeadlyPoisonFromMonsterQuestItem	"Des biens contamines ont empoisonne ##1## !"
QuestAnnounceDeadlyPoisonFromLevelQuestItem	"Des biens contamines ont empoisonne ##1## !"

QuestTitleDeadlyPoison			"Soigner ##1##"
QuestTextDeadlyPoison			"##1## a été empoisonne(e) !  Pouvez-vous l'aider ? J'ai besoin de ##2## ##4## de ##3## pour le soigner."
QuestDeadlyPoisonLate			"##1## est mort d'un poison mortel !"
QuestKilledDeadlyPoison			"##1## a été tue(e) avant d'avoir pu être soigne(e) !"
DeadlyPoison				"Poison mortel"

// Plague

QuestAnnouncePlague			"La peste a eclate en ville !\n"
QuestAnnouncePlagueFromAssassin		"L'assassin ##1## a répandu la peste en ville !\n"
QuestAnnouncePlagueFromRenegadeAttack	"Le renégat ##1## a répandu la peste en ville !\n"
QuestAnnouncePlagueFromTownAttack	"Les attaquants de la ville y ont répandu la peste !\n"

QuestTitlePlague			"Enrayez la peste"
QuestTextPlague1			"La ville a la peste !.  Allez trouver ##1## ##3## de ##2## pour que je puisse l'enrayer."
QuestTextPlague2			"La peste est arrivee en ville !  Pour l'enrayer, j'ai besoin de ##1## ##3## de ##2##."
QuestTextPlague3			"La ville est devenue infectée par la peste ! Non seulement les gens tombent malades, mais la nourriture est maintenant bien plus chère. Rapportez-moi ##1## ##3## de ##2## pour que nous puissions l'enrayer."
QuestEventPlagueSpread			"##1## a contracte la peste.\n"
Plague					"Peste"

// Town curse

QuestAnnounceCurse			"La ville a été maudite !\n"
QuestAnnounceCurseFromAssassin	"L'assassin ##1## a maudit la ville !\n"
QuestAnnounceCurseFromRenegadeAttack	"Le renégat ##1## a maudit la ville !\n"
QuestAnnounceCurseFromTownAttack	"Les attaquants de la ville ont maudit la ville !\n"

QuestTitleCurse				"Lever la malédiction"
QuestTextCurse				"La ville a été maudite !  Allez trouver ##1## ##3## de ##2## pour que je puisse régler le problème"
QuestEventCurseSpread			"##1## a été maudit.\n"

QuestTextCurseDin			"Personne en ville ne comprend, mais la ville a été maudite !.  Allez trouver ##1## ##3## de ##2## pour que je puisse régler ça"

// Town Attack

QuestAnnounceTownAttack			"##1## attaquent la ville !"
QuestAnnounceTownAttackFromBoss		"##2## a envoye ##1## attaquer la ville !"
QuestAnnounceTownAttackFromUniqueMonsterSpotted		"##2## a envoye ##1## attaquer la ville !"
QuestAnnounceTownAttackFromKillMonsterGroup		"Le groupe de ##2##a envoye ##1## attaquer la ville !"
QuestAnnounceTownAttackFromUprising	"Des partisans d'un soulèvement de ##1## attaquent la ville !"
QuestAnnounceTownAttackFromMonsterScout	"éclaireur ##2## a permis une attaque de la ville par les ##1## !"
QuestAnnounceTownAttackFromWarAgainstBarbarians	"En raison de notre guerre avec les ##1##, ils attaquent la ville !"
QuestAnnounceTownAttackFromQuestMonsterGathering	"Des partisans d'un rassemblement de monstres de ##1## attaquent la ville !"
QuestAnnounceTownAttackFromQuestAreaOverrun		"Des ##1## de la zone envahie attaquent la ville !"
QuestAnnounceTownAttackFromQuestUprisingTownAttackPlan	"Ayant échoue a perturber le plan, les ##1## attaquent la ville !"
QuestAnnounceTownAttackFromQuestUprisingBase		"Depuis leur base opérations, les ##1## attaquent la ville !"
QuestAnnounceTownAttackFromQuestUniqueReconTotem	"Aides d'un totem de reconnaissance, les ##1## attaquent la ville !"
QuestAnnounceTownAttackFromQuestGetInfoTownAttack	"Nous avons échoue a découvrir leurs plans et maintenant les ##1## attaquent la ville !"
QuestAnnounceTownAttackFromQuestMonsterQuestBlackmailAccepted	"Nous avons échoue a honorer leur chantage, et maintenant les ##1## attaquent la ville !"

