
RarityNormal				"Normal"
SilverPieces				"Silver Pieces"
CopperPieces				"Copper Pieces"

RequiresLevel				"Requires level"
Requires				"Requires"
RequiresArmorSkillCloth			"Requires armor skill: Cloth"
RequiresArmorSkillLeather		"Requires armor skill: Leather"
RequiresArmorSkillMail			"Requires armor skill: Mail"
RequiresArmorSkillPlate			"Requires armor skill: Plate"
RequiresWeaponSkillDagger		"Requires weapon skill: Dagger"
RequiresWeaponSkillAxe			"Requires weapon skill: Axe"
RequiresWeaponSkillTwoHandedAxe		"Requires weapon skill: Two Handed Axe"
RequiresWeaponSkillSword		"Requires weapon skill: Sword"
RequiresWeaponSkillTwoHandedSword	"Requires weapon skill: Two Handed Sword"
RequiresWeaponSkillMace			"Requires weapon skill: Mace"
RequiresWeaponSkillTwoHandedMace	"Requires weapon skill: Two Handed Mace"
RequiresWeaponSkillStaff		"Requires weapon skill: Staff"
RequiresWeaponSkillBow			"Requires weapon skill: Bow"
RequiresSkillShield			"Requires skill: Shield"
RequiresSkillCape			"Requires skill: Cape"
RequiresCurse				"You can only equip cursed items"

RegainXtoYHealth			"Regain ##1## to ##2## health"
RegainXtoYPower				"Regain ##1## to ##2## ##3##"
XtoYDamage				"##1## to ##2## Damage"
XtoYDamageType				"##1## to ##2## ##3## Damage"
WithXItems				"With ##1## items"
WithAllXItems				"With all ##1## items"

CurrentlyEquipped			"Currently equipped"
EquippedComparisonInstructions		"\n"
NoComparisonItem			"None"

// Items

Crude					"Crude"
Dull					"Dull"
Superior				"Superior"
Excellent				"Excellent"
Ragged					"Ragged"
Worn					"Worn"
Rusty					"Rusty"
Dented					"Dented"
Cracked					"Cracked"

OneHandedAxe				"One-handed Axe"
Hatchet					"Hatchet"
HandAxe					"Hand Axe"
Deathbringer				"Deathbringer"
Axe					"Axe"
Cleaver					"Cleaver"
DoubleBladedAxe				"Double-bladed Axe"
BeardedAxe				"Bearded Axe"
PikeAxe					"Pike Axe"
Tomahawk				"Tomahawk"
MammenAxe				"Mammen Axe"
Francisca				"Francisca"
VikingAxe				"Viking Axe"
Rockcutter				"Rockcutter"
BloodReaver				"Blood Reaver"
TheButcher				"The Butcher"
Skullsplitter				"Skullsplitter"
Annihilator				"Annihilator"
Ravager					"Ravager"
DraaiensAxe				"Draaien's Axe"
OrcSlayer				"Orc Slayer"
ScavengerScourge			"Scavenger Scourge"
WampirWacker				"Wampir Wacker"
WispWrecker				"Wisp Wrecker"
PlagueBringerKiller			"Plaguebringer Killer"
SaurianSlasher				"Saurian Slasher"
LeprechaunLicker			"Leprechaun Licker"
ZombieZapper				"Zombie Zapper"

TwoHandedAxe				"Two-handed Axe"
LargeAxe				"Large Axe"
WarAxe					"War Axe"
Madfury					"Madfury"
BattleAxe				"Battle Axe"
GreatAxe				"Great Axe"
BroadAxe				"Broad Axe"
GiantAxe				"Giant Axe"
GothicBattleAxe				"Gothic Battle Axe"
CrusaderAxe				"Crusader Axe"
DoubleHeadedWarAxe			"Double-Headed War Axe"
ExecutionerAxe				"Executioner Axe"
Bloodfury				"Bloodfury"
Hellfury				"Hellfury"
Guillotine				"Guillotine"
Stormrage				"Stormrage"
Demonrage				"Demonrage"
Decapitator				"Decapitator"
SkaddsAxe				"Skadd's Axe"
ChaosLordKiller				"Chaos Lord Killer"
ScreeScourge				"Scree Scourge"
FireThrowerThwarter			"Fire Thrower Thwarter"
FuryFanatic				"Fury Fanatic"
IceElementalPick			"Ice Elemental Pick"
LightningElementalSlayer		"Lightning Elemental Slayer"
DeathKnightDropper			"Death Knight Dropper"
HorrorHatchet				"Horror Hatchet"
ImpSlayer				"Imp Slayer"
AmorphSlicer				"Amorph Slicer"
TorvaTrouncer				"Torva Trouncer"
BroodBisecter				"Brood Bisecter"

StartingBackpack			"Backpack"
StartingBackpackDesc			"Holds up to 12 items"
Pouch					"Pouch"
PouchDesc				"Holds up to 4 items"
Bag					"Bag"
BagDesc					"Holds up to 6 items"
Satchel					"Satchel"
SatchelDesc				"Holds up to 8 items"
Sack					"Sack"
SackDesc				"Holds up to 10 items"
Knapsack				"Knapsack"
KnapsackDesc				"Holds up to 12 items"
Backpack				"Backpack"
BackpackDesc				"Holds up to 14 items"
LargeBackpack				"Large Backpack"
LargeBackpackDesc			"Holds up to 16 items"

ClothSash				"Cloth Sash"
QuiltedSash				"Quilted Sash"
WoolSash				"Wool Sash"
ThickClothSash				"Thick Cloth Sash"
CigliosBraidedBelt			"Ciglio's Braided Belt"
BrennasBelt				"Brenna's Belt"
WovenBelt				"Woven Belt"
KnittedBelt				"Knitted Belt"
PaddedBelt				"Padded Belt"
LinenBelt				"Linen Belt"
CanvasBelt				"Canvas Belt"
RussetBelt				"Russet Belt"
FlaxGirdle				"Flax Girdle"
GarbadineGirdle				"Garbadine Girdle"
FustianGirdle				"Fustian Girdle"
GossamerGirdle				"Gossamer Girdle"
SilkGirdle				"Silk Girdle"
SpidersilkGirdle			"Spidersilk Girdle"
FusesBelt				"Fuse's Belt"
EeanleesBelt				"Eeanlee's Belt"
RavensBelt				"Raven's Belt"
Nightshade				"Nightshade"
Wildfire				"Wildfire"
Vipercoil				"Vipercoil"

SoftLeatherBelt				"Soft Leather Belt"
LeatherBelt				"Leather Belt"
BuckskinBelt				"Buckskin Belt"
HardLeatherBelt				"Hard Leather Belt"
Blight					"Blight"
StuddedLeatherBelt			"Studded Leather Belt"
RawhideBelt				"Rawhide Belt"
RoughLeatherBelt			"Rough Leather Belt"
TannedLeatherBelt			"Tanned Leather Belt"
CuredLeatherGirdle			"Cured Leather Girdle"
CrocodileHideGirdle			"Crocodile Hide Girdle"
ReinforcedLeatherGirdle			"Reinforced Leather Girdle"
SerpentskinGirdle			"Serpentskin Girdle"
OgreHideGirdle				"Ogre Hide Girdle"
GiantHideGirdle				"Giant Hide Girdle"
BasiliskHideGirdle			"Basilisk Hide Girdle"
DragonhideGirdle			"Dragonhide Girdle"
DrelsBelt				"Drel's Belt"
DezsBelt				"Dez's Belt"
AssassinsBelt				"Assassin's Belt"
SerillinsSerpent			"Serillin's Serpent"

RingMailBelt				"Ring Mail Belt"
BronzeScaleBelt				"Bronze Scale Belt"
LightChainBelt				"Light Chain Belt"
ScaleMailBelt				"Scale Mail Belt"
KrachtsPillage				"Kracht's Pillage"
ChainMailBelt				"Chain Mail Belt"
SplintMailBelt				"Splint Mail Belt"
SteelChainBelt				"Steel Chain Belt"
BrigandineBelt				"Brigandine Belt"
FortifiedChainGirdle			"Fortified Chain Girdle"
DoubleMailGirdle			"Double Mail Girdle"
BandedArmorGirdle			"Banded Armor Girdle"
BoneScaleGirdle				"Bone Scale Girdle"
IvoryScaleGirdle			"Ivory Scale Girdle"
TurtleScaleGirdle			"Turtle Scale Girdle"
ScorpionScaleGirdle			"Scorpion Scale Girdle"
DragonscaleGirdle			"Dragonscale Girdle"
ShankarsGirdle				"Shankar's Girdle"
StormguardBelt				"Stormguard Belt"
ErillinsBait				"Erillin's Bait"

LightPlateBelt				"Light Plate Belt"
MudbeardsBelt				"Mudbeard's Belt"
CopperPlateBelt				"Copper Plate Belt"
FieldPlateBelt				"Field Plate Belt"
BronzePlateBelt				"Bronze Plate Belt"
PlateArmorBelt				"Plate Armor Belt"
FullPlateBelt				"Full Plate Belt"
SteelPlateBelt				"Steel Plate Belt"
EmbossedPlateGirdle			"Embossed Plate Girdle"
GothicPlateGirdle			"Gothic Plate Girdle"
CrusaderPlateGirdle			"Crusader Plate Girdle"
QuicksilverGirdle			"Quicksilver Girdle"
MithrilGirdle				"Mithril Girdle"
AdamantiumGirdle			"Adamantium Girdle"
SvensBelt				"Sven's Belt"
SkaddsBelt				"Skadd's Belt"
DraaiensGirdle				"Draaien's Girdle"
MortusDrain				"Mortus' Drain"
ChaosBelt				"Chaos Belt"
PolarLight				"Polar Light"

ClothBoots				"Cloth Boots"
QuiltedBoots				"Quilted Boots"
WoolBoots				"Wool Boots"
ThickClothBoots				"Thick Cloth Boots"
Shadowweave				"Shadowweave"
WovenBoots				"Woven Boots"
KnittedBoots				"Knitted Boots"
PaddedBoots				"Padded Boots"
LinenBoots				"Linen Boots"
CanvasBoots				"Canvas Boots"
RussetBoots				"Russet Boots"
FlaxBoots				"Flax Boots"
GarbadineBoots				"Garbadine Boots"
FustianBoots				"Fustian Boots"
GossamerBoots				"Gossamer Boots"
SilkBoots				"Silk Boots"
SpidersilkBoots				"Spidersilk Boots"
FusesBoots				"Fuse's Boots"
DameksBoots				"Damek's Boots"
RavensBoots				"Raven's Boots"
Cyclone					"Cyclone"
ValtasAdvance				"Valta's Advance"
YuxisBoots				"Yuxi's Boots"

SoftLeatherBoots			"Soft Leather Boots"
LeatherBoots				"Leather Boots"
BuckskinBoots				"Buckskin Boots"
HardLeatherBoots			"Hard Leather Boots"
ToversBoots				"Tover's Boots"
Nimblefeet				"Nimblefeet"
StuddedLeatherBoots			"Studded Leather Boots"
RawhideBoots				"Rawhide Boots"
RoughLeatherBoots			"Rough Leather Boots"
TannedLeatherBoots			"Tanned Leather Boots"
CuredLeatherBoots			"Cured Leather Boots"
CrocodileHideBoots			"Crocodile Hide Boots"
ReinforcedLeatherBoots			"Reinforced Leather Boots"
SerpentskinBoots			"Serpentskin Boots"
OgreHideBoots				"Ogre Hide Boots"
GiantHideBoots				"Giant Hide Boots"
BasiliskHideBoots			"Basilisk Hide Boots"
DragonhideBoots				"Dragonhide Boots"
DrelsBoots				"Drel's Boots"
DezsBoots				"Dez's Boots"
Shadowwalker				"Shadowwalker"
AssassinBoots				"Assassin Boots"
DragonsClout				"Dragon's Clout"
ToresBoots				"Tore's Boots"
TurensBoots				"Turen's Boots"

RingMailBoots				"Ring Mail Boots"
BronzeScaleBoots			"Bronze Scale Boots"
LightChainBoots				"Light Chain Boots"
ScaleMailBoots				"Scale Mail Boots"
StormguardBoots				"Stormguard Boots"
ChainMailBoots				"Chain Mail Boots"
SplintMailBoots				"Splint Mail Boots"
SteelChainBoots				"Steel Chain Boots"
BrigandineBoots				"Brigandine Boots"
FortifiedChainBoots			"Fortified Chain Boots"
DoubleMailBoots				"Double Mail Boots"
BandedArmorBoots			"Banded Armor Boots"
BoneScaleBoots				"Bone Scale Boots"
IvoryScaleBoots				"Ivory Scale Boots"
TurtleScaleBoots			"Turtle Scale Boots"
ScorpionScaleBoots			"Scorpion Scale Boots"
DragonscaleBoots			"Dragonscale Boots"
LulansBoots				"Lulan's Boots"
RettersBoots				"Retter's Boots"
Serac					"Serac"
Fate					"Fate"

LightPlateBoots				"Light Plate Boots"
MudbeardsBoots				"Mudbeard's Boots"
CopperPlateBoots			"Copper Plate Boots"
FieldPlateBoots				"Field Plate Boots"
BronzePlateBoots			"Bronze Plate Boots"
PlateArmorBoots				"Plate Armor Boots"
FullPlateBoots				"Full Plate Boots"
SteelPlateBoots				"Steel Plate Boots"
EmbossedPlateBoots			"Embossed Plate Boots"
GothicPlateBoots			"Gothic Plate Boots"
CrusaderPlateBoots			"Crusader Plate Boots"
QuicksilverBoots			"Quicksilver Boots"
MithrilBoots				"Mithril Boots"
AdamantiumBoots				"Adamantium Boots"
SvensBoots				"Sven's Boots"
DraaiensBoots				"Draaien's Boots"
Steeltoe				"Steeltoe"
Silvermoon				"Silvermoon"
Turak					"Turak"
AzarsBoots				"Azar's Boots"

ClothShawl				"Cloth Shawl"
QuiltedShawl				"Quilted Shawl"
WoolShawl				"Wool Shawl"
BrennasCloak				"Brenna's Cloak"
ThickClothShawl				"Thick Cloth Shawl"
WovenShawl				"Woven Shawl"
KnittedCape				"Knitted Cape"
PaddedCape				"Padded Cape"
LinenCape				"Linen Cape"
CanvasCape				"Canvas Cape"
RussetCape				"Russet Cape"
FlaxCape				"Flax Cape"
GarbadineCloak				"Garbadine Cloak"
FustianCloak				"Fustian Cloak"
GossamerCloak				"Gossamer Cloak"
SilkCloak				"Silk Cloak"
SpidersilkCloak				"Spidersilk Cloak"
FusesCloak				"Fuse's Cloak"
RavensCloak				"Raven's Cloak"
DezsShawl				"Dez's Shawl"
BitterWind				"Bitter Wind"
CloakofShadows				"Cloak of Shadows"
ArchmageCloak				"Archmage Cloak"

ClothRobe				"Cloth Robe"
QuiltedRobe				"Quilted Robe"
WoolRobe				"Wool Robe"
ThickClothRobe				"Thick Cloth Robe"
CigliosRobe				"Ciglio's Robe"
ChillCoat				"Chill Coat"
WovenRobe				"Woven Robe"
KnittedVest				"Knitted Vest"
PaddedVest				"Padded Vest"
LinenVest				"Linen Vest"
CanvasVest				"Canvas Vest"
RussetVest				"Russet Vest"
FlaxTunic				"Flax Tunic"
GarbadineTunic				"Garbadine Tunic"
FustianTunic				"Fustian Tunic"
GossamerTunic				"Gossamer Tunic"
SilkTunic				"Silk Tunic"
SpidersilkTunic				"Spidersilk Tunic"
FusesTunic				"Fuse's Tunic"
DameksTunic				"Damek's Tunic"
EeanleesVest				"Eeanlee's Vest"
RavensTunic				"Raven's Tunic"
NightShroud				"Night Shroud"
BattlemageVest				"Battlemage Vest"
DeathShroud				"Death Shroud"
ArchmageRobe				"Archmage Robe"
BlackWidow				"Black Widow"
ShankarsFurCoat				"Shankar's Fur Coat"
RiditsRobe				"Ridit's Robe"

SoftLeatherVest				"Soft Leather Vest"
LeatherVest				"Leather Vest"
BuckskinVest				"Buckskin Vest"
HardLeatherVest				"Hard Leather Vest"
ToversVest				"Tover's Vest"
IceHeart				"Ice Heart"
StuddedLeatherVest			"Studded Leather Vest"
RawhideTunic				"Rawhide Tunic"
RoughLeatherTunic			"Rough Leather Tunic"
TannedLeatherTunic			"Tanned Leather Tunic"
CuredLeatherTunic			"Cured Leather Tunic"
CrocodileHideTunic			"Crocodile Hide Tunic"
ReinforcedLeatherHarness		"Reinforced Leather Harness"
SerpentskinHarness			"Serpentskin Harness"
OgreHideHarness				"Ogre Hide Harness"
GiantHideHarness			"Giant Hide Harness"
BasiliskHideHarness			"Basilisk Hide Harness"
DragonhideHarness			"Dragonhide Harness"
DezsTunic				"Dez's Tunic"
AversionsHarness			"Aversion's Harness"
Magebane				"Magebane"
Permafrost				"Permafrost"
DegolsTunic				"Degol's Tunic"
LishlotsTunic				"Lishlot's Tunic"
TurensVest				"Turen's Vest"

RingMailTunic				"Ring Mail Tunic"
BronzeScaleTunic			"Bronze Scale Tunic"
LightChainTunic				"Light Chain Tunic"
ScaleMailTunic				"Scale Mail Tunic"
GretasTunic				"Greta's Tunic"
ChainMailTunic				"Chain Mail Tunic"
SplintMailTunic				"Splint Mail Tunic"
SteelChainTunic				"Steel Chain Tunic"
BrigandineTunic				"Brigandine Tunic"
FortifiedChainChestpiece		"Fortified Chain Chestpiece"
DoubleMailChestpiece			"Double Mail Chestpiece"
BandedArmorChestpiece			"Banded Armor Chestpiece"
BoneScaleChestpiece			"Bone Scale Chestpiece"
IvoryScaleChestpiece			"Ivory Scale Chestpiece"
TurtleScaleChestpiece			"Turtle Scale Chestpiece"
ScorpionScaleChestpiece			"Scorpion Scale Chestpiece"
DragonscaleChestpiece			"Dragonscale Chestpiece"
BevansChestpiece			"Bevan's Chestpiece"
LulansTunic				"Lulan's Tunic"
RettersChestpiece			"Retter's Chestpiece"
ShankarsChestpiece			"Shankar's Chestpiece"
SnowSnap				"Snow Snap"
MasonWrap				"Mason Wrap"
BlackguardTunic				"Blackguard Tunic"
ThadensConviction			"Thaden's Conviction"
MalosChestpiece				"Malos Chestpiece"
NequamsTunic				"Nequam's Tunic"
OvladsTunic				"Ovlad's Tunic"

LightPlateChestpiece			"Light Plate Chestpiece"
MudbeardsChestpiece			"Mudbeard's Chestpiece"
CopperPlateChestpiece			"Copper Plate Chestpiece"
FieldPlateChestpiece			"Field Plate Chestpiece"
BronzePlateChestpiece			"Bronze Plate Chestpiece"
PlateArmorChestpiece			"Plate Armor Chestpiece"
FullPlateChestpiece			"Full Plate Chestpiece"
SteelPlateChestpiece			"Steel Plate Chestpiece"
EmbossedPlateBreastplate		"Embossed Plate Breastplate"
GothicPlateBreastplate			"Gothic Plate Breastplate"
CrusaderPlateBreastplate		"Crusader Plate Breastplate"
QuicksilverBreastplate			"Quicksilver Breastplate"
MithrilBreastplate			"Mithril Breastplate"
AdamantiumBreastplate			"Adamantium Breastplate"
SvensBreastplate			"Sven's Breastplate"
SkaddsChestpiece			"Skadd's Chestpiece"
DraaiensBreastplate			"Draaien's Breastplate"
Steelcage				"Steelcage"
ImperialBreastplate			"Imperial Breastplate"
HellforgedCuirass			"Hellforged Cuirass"
Stonechest				"Stonechest"
Soulkeeper				"Soulkeeper"
VakoilsChestpiece			"Vakoil's Chestpiece"

Dagger					"Dagger"
Knife					"Knife"
Dirk					"Dirk"
Fang					"Fang"
Dragonfang				"Dragonfang"
ShadowFang				"Shadow Fang"
ToversDirk				"Tover's Dirk"
Kris					"Kris"
Blade					"Blade"
Poignard				"Poignard"
MainGauche				"Main Gauche"
Stiletto				"Stiletto"
Rondel					"Rondel"
Pugio					"Pugio"
Seax					"Seax"
FlameDagger				"Flame Dagger"
Bloodspiller				"Bloodspiller"
Plaguebearer				"Plaguebearer"
Fleshripper				"Fleshripper"
Serpentblade				"Serpentblade"
Hellblade				"Hellblade"
Goreripper				"Goreripper"
Nightslayer				"Nightslayer"
DaggerofNight				"Dagger of Night"
DezsBlade				"Dez's Blade"
AversionsRondel				"Aversion's Rondel"
DegolsStiletto				"Degol's Stiletto"
ToresDirk				"Tore's Dirk"
HellHoundStabber			"HellHound Stabber"
GuardianAvenger				"Guardian Avenger"
ScarabusStabber				"Scarabus Stabber"

DrinkDesc				"Cheap way to slowly regain mana\nCan drink at ANY time"
Water					"Water"
Whey					"Whey"
Beer					"Beer"
PomegranateJuice			"Pomegranate Juice"
Milk					"Milk"
Mead					"Mead"
Buttermilk				"Buttermilk"
MulberryJuice				"Mulberry Juice"
Ale					"Ale"
Perry					"Perry"
Wine					"Wine"
LemonJuice				"Lemon Juice"
Cider					"Cider"
CherryJuice				"Cherry Juice"
SpicedCider				"Spiced Cider"
MulledWine				"Mulled Wine"
SpicedWine				"Spiced Wine"

TumblerMinorDexterityElixir		"Tumbler of Minor Dexterity Elixir"
VialMinorDexterityElixir		"Vial of Minor Dexterity Elixir"
FlaskMinorDexterityElixir		"Flask of Minor Dexterity Elixir"
TumblerLesserDexterityElixir		"Tumbler of Lesser Dexterity Elixir"
VialLesserDexterityElixir		"Vial of Lesser Dexterity Elixir"
FlaskLesserDexterityElixir		"Flask of Lesser Dexterity Elixir"
TumblerDexterityElixir			"Tumbler of Dexterity Elixir"
VialDexterityElixir			"Vial of Dexterity Elixir"
FlaskDexterityElixir			"Flask of Dexterity Elixir"
TumblerGreaterDexterityElixir		"Tumbler of Greater Dexterity Elixir"
VialGreaterDexterityElixir		"Vial of Greater Dexterity Elixir"
FlaskGreaterDexterityElixir		"Flask of Greater Dexterity Elixir"
TumblerMajorDexterityElixir		"Tumbler of Major Dexterity Elixir"
VialMajorDexterityElixir		"Vial of Major Dexterity Elixir"
FlaskMajorDexterityElixir		"Flask of Major Dexterity Elixir"

TumblerMinorIntelligenceElixir		"Tumbler of Minor Intelligence Elixir"
VialMinorIntelligenceElixir		"Vial of Minor Intelligence Elixir"
FlaskMinorIntelligenceElixir		"Flask of Minor Intelligence Elixir"
TumblerLesserIntelligenceElixir		"Tumbler of Lesser Intelligence Elixir"
VialLesserIntelligenceElixir		"Vial of Lesser Intelligence Elixir"
FlaskLesserIntelligenceElixir		"Flask of Lesser Intelligence Elixir"
TumblerIntelligenceElixir		"Tumbler of Intelligence Elixir"
VialIntelligenceElixir			"Vial of Intelligence Elixir"
FlaskIntelligenceElixir			"Flask of Intelligence Elixir"
TumblerGreaterIntelligenceElixir	"Tumbler of Greater Intelligence Elixir"
VialGreaterIntelligenceElixir		"Vial of Greater Intelligence Elixir"
FlaskGreaterIntelligenceElixir		"Flask of Greater Intelligence Elixir"
TumblerMajorIntelligenceElixir		"Tumbler of Major Intelligence Elixir"
VialMajorIntelligenceElixir		"Vial of Major Intelligence Elixir"
FlaskMajorIntelligenceElixir		"Flask of Major Intelligence Elixir"

TumblerMinorSpiritElixir		"Tumbler of Minor Spirit Elixir"
VialMinorSpiritElixir			"Vial of Minor Spirit Elixir"
FlaskMinorSpiritElixir			"Flask of Minor Spirit Elixir"
TumblerLesserSpiritElixir		"Tumbler of Lesser Spirit Elixir"
VialLesserSpiritElixir			"Vial of Lesser Spirit Elixir"
FlaskLesserSpiritElixir			"Flask of Lesser Spirit Elixir"
TumblerSpiritElixir			"Tumbler of Spirit Elixir"
VialSpiritElixir			"Vial of Spirit Elixir"
FlaskSpiritElixir			"Flask of Spirit Elixir"
TumblerGreaterSpiritElixir		"Tumbler of Greater Spirit Elixir"
VialGreaterSpiritElixir			"Vial of Greater Spirit Elixir"
FlaskGreaterSpiritElixir		"Flask of Greater Spirit Elixir"
TumblerMajorSpiritElixir		"Tumbler of Major Spirit Elixir"
VialMajorSpiritElixir			"Vial of Major Spirit Elixir"
FlaskMajorSpiritElixir			"Flask of Major Spirit Elixir"

TumblerMinorStrengthElixir		"Tumbler of Minor Strength Elixir"
VialMinorStrengthElixir			"Vial of Minor Strength Elixir"
FlaskMinorStrengthElixir		"Flask of Minor Strength Elixir"
TumblerLesserStrengthElixir		"Tumbler of Lesser Strength Elixir"
VialLesserStrengthElixir		"Vial of Lesser Strength Elixir"
FlaskLesserStrengthElixir		"Flask of Lesser Strength Elixir"
TumblerStrengthElixir			"Tumbler of Strength Elixir"
VialStrengthElixir			"Vial of Strength Elixir"
FlaskStrengthElixir			"Flask of Strength Elixir"
TumblerGreaterStrengthElixir		"Tumbler of Greater Strength Elixir"
VialGreaterStrengthElixir		"Vial of Greater Strength Elixir"
FlaskGreaterStrengthElixir		"Flask of Greater Strength Elixir"
TumblerMajorStrengthElixir		"Tumbler of Major Strength Elixir"
VialMajorStrengthElixir			"Vial of Major Strength Elixir"
FlaskMajorStrengthElixir		"Flask of Major Strength Elixir"

TumblerMinorTreasureFindingElixir	"Tumbler of Minor Treasure Finding Elixir"
VialMinorTreasureFindingElixir		"Vial of Minor Treasure Finding Elixir"
FlaskMinorTreasureFindingElixir		"Flask of Minor Treasure Finding Elixir"
TumblerLesserTreasureFindingElixir	"Tumbler of Lesser Treasure Finding Elixir"
VialLesserTreasureFindingElixir		"Vial of Lesser Treasure Finding Elixir"
FlaskLesserTreasureFindingElixir	"Flask of Lesser Treasure Finding Elixir"
TumblerTreasureFindingElixir		"Tumbler of Treasure Finding Elixir"
VialTreasureFindingElixir		"Vial of Treasure Finding Elixir"
FlaskTreasureFindingElixir		"Flask of Treasure Finding Elixir"
TumblerGreaterTreasureFindingElixir	"Tumbler of Greater Treasure Finding Elixir"
VialGreaterTreasureFindingElixir	"Vial of Greater Treasure Finding Elixir"
FlaskGreaterTreasureFindingElixir	"Flask of Greater Treasure Finding Elixir"
TumblerMajorTreasureFindingElixir	"Tumbler of Major Treasure Finding Elixir"
VialMajorTreasureFindingElixir		"Vial of Major Treasure Finding Elixir"
FlaskMajorTreasureFindingElixir		"Flask of Major Treasure Finding Elixir"

TumblerMinorVitalityElixir		"Tumbler of Minor Vitality Elixir"
VialMinorVitalityElixir			"Vial of Minor Vitality Elixir"
FlaskMinorVitalityElixir		"Flask of Minor Vitality Elixir"
TumblerLesserVitalityElixir		"Tumbler of Lesser Vitality Elixir"
VialLesserVitalityElixir		"Vial of Lesser Vitality Elixir"
FlaskLesserVitalityElixir		"Flask of Lesser Vitality Elixir"
TumblerVitalityElixir			"Tumbler of Vitality Elixir"
VialVitalityElixir			"Vial of Vitality Elixir"
FlaskVitalityElixir			"Flask of Vitality Elixir"
TumblerGreaterVitalityElixir		"Tumbler of Greater Vitality Elixir"
VialGreaterVitalityElixir		"Vial of Greater Vitality Elixir"
FlaskGreaterVitalityElixir		"Flask of Greater Vitality Elixir"
TumblerMajorVitalityElixir		"Tumbler of Major Vitality Elixir"
VialMajorVitalityElixir			"Vial of Major Vitality Elixir"
FlaskMajorVitalityElixir		"Flask of Major Vitality Elixir"

FoodDesc				"Cheap way to slowly regain health\nCan eat at ANY time"
FreshFruit				"Fresh Fruit"
RoastQuail				"Roast Quail"
Fish					"Fish"
Turtledove				"Turtledove"
BakedBread				"Baked Bread"
Partridge				"Partridge"
Rabbit					"Rabbit"
Goose					"Goose"
RoastedPeacock				"Roasted Peacock"
Mutton					"Mutton"
Pheasant				"Pheasant"
AgedCheese				"Aged Cheese"
Chicken					"Chicken"
Venison					"Venison"
RoastedBoar				"Roasted Boar"
WildBoar				"Wild Boar"

