
// ##1## - player's name
// ##2## - NPC's name
// ##3## - town name

GenericIntro				"Bonjour, je m'appelle ##2##"
ApothecaryChat2-4			"Vous auriez du voir ##3## avant les jours obscurs.  C'etait une ville glorieuse !"
ApothecaryChat2-5			"Les jours passent et chacun m'apporte un espoir nouveau."
ApothecaryChat2-6			"Je peux ressentir la benediction d'un dieu en vous."

ApothecaryChat3-1			"Il n'y aucun espoir de renforts. Nous sommes tout ce qui reste."	
ApothecaryChat3-2			"Je ne pourrai jamais assez vous remercier pour le bien que vous avez fait ici."
ApothecaryChat3-3			"Vous etes exactement celui qui pourra nous sauver."
ApothecaryChat3-4			"Merci pour votre service."
ApothecaryChat3-5			"La vie n'est jamais facile, mais vous le savez."
ApothecaryChat3-6			"Pouvez-vous croire qu'un des ces sales leprechauns a voles tout mon argent ?"

ApothecaryChat6-1			"Comment allez-vous, ##1## ?"	
ApothecaryChat6-2			"Z'avez deja trouve des insectes ? Faites attention aux gros. Ils crachent leurs larves tueuses."
ApothecaryChat6-3			"Si vous ne m'aidez pas, qui le fera ?"
ApothecaryChat6-4			"La peste est une vraie salete ! Elle se propage encore et toujours, affaiblissant la ville, jusqu'a ce que je trouve ce qu'il me faut pour l'enrayer."	
ApothecaryChat6-5			"Moi ? Ouais. Je peux pratiquement tout soigner."	
ApothecaryChat6-6			"Z'avez fait beaucoup de victimes aujourd'hui, ##1## ?"	
ApothecaryChat6-7			"Bonne chance la-dehors !"
ApothecaryChat6-8			"Je ne descends jamais sous terre sans faire le plein de nourriture."
ApothecaryChat6-9			"Une chose sur laquelle vous pourrez toujours compter est l'argent (??change)."
ApothecaryChat6-10			"Autrefois, je priais pour l'excitation du moment, maintenant, je ne reve que de paix."
ApothecaryChat6-11			"Voulez faire une partie de des ?  Non ?  Peut-etre plus tard alors."
ApothecaryChat6-12			"Il n'y a rien de meilleur dans la vie que de concoter des potions."

//
// Steward
//

StewardIntro				"Bienvenu a ##3##. En ces temps sombres, nous avons besoins de volontaires comme vous. Je suis ##2##, l'intendant de ##3## et je garde trace des ressources de la ville. Je suis sur d'avoir du travail pour vous."

StewardChat1-1				"Revenez me voir souvent. J'offre des recompences pour les ressources dont j'ai besoin."
StewardChat1-2				"Aller chercher des ressources est quelque chose que meme vous pouvez faire."
StewardChat1-3				"Aucun soldat affecte ici ; je gage que nous allons devoir faire avec ceux comme vous."
StewardChat1-4				"La peur est le tueur de l'esprit."
StewardChat1-5				"Je crains que ##3## ne soit au-dela de l'espoir."
StewardChat1-6				"Personne ne voyage ici, a cause des troubles."

StewardChat2-1				"Vous avez fait un gros boulot pour nous aider."
StewardChat2-2				"Parfois, je crois que vous allez nous sauver.  Parfois."
StewardChat2-3				"Je n'aurais jamais cru que vous dureriez si longtemps."
StewardChat2-4				"Ne laissez pas le maitre de guerre vous tomber dessus (??get you down), il est dur avec tout le monde."
StewardChat2-5				"Waouh, vous collectionnez les cicatrices de combat !"
StewardChat2-6				"Pourquoi personne ne veut aller chercher ces marchandises ?"

StewardChat3-1				"Par les trippes de Din !  Mais vous avez change."
StewardChat3-2				"Vous voulez toujours faire quelque chose pour ##3## ?"
StewardChat3-3				"L'espoir n'est pas perdu avec vous qui combattez pour nous."
StewardChat3-4				"J'avais prevu de quitter ##3## avant que vous n'arriviez.  Maintenant, j'ai la foi."
StewardChat3-5				"Soyez vrai, combattant.  Des jours plus sombres sot encore a venir."
StewardChat3-6				"Puissent vos jours etre faits d'abondance pour tous les services que vous avez rendus."

StewardChat6-1				"##1## ! Content de vous revoir."
StewardChat6-2				"Qu'est-ce que vous devenez ?"
StewardChat6-3				"Parfois, j'ai besoin d'approvisionnement."
StewardChat6-4				"Avez-vous deja accepte une mission, ##1## ?"
StewardChat6-5				"Z'avez deja trouve quelque chose d'interessant ?"
StewardChat6-6				"Je suis content(e) que vous soyez venu, ##1##."
StewardChat6-7				"J'ai entendu de bonnes choses sur vous."
StewardChat6-8				"Avez-vous vu des personnages suspects dans les parages ?"
StewardChat6-9				"Parfois, ce sont les choses simples qui me permettent de continuer a avancer."
StewardChat6-10				"Tout le monde meurt un jour."
StewardChat6-11				"##3## est peut-etre malchanceux, mais nous avons toujours plus de chance que d'autres."
StewardChat6-12				"C'est toujours la nuit dans les tenebres."

//
// Vendor
//

VendorIntro				"Bonjour, etranger ! Je m'appelle ##2##, marchand de la ville. J'ai des marchandises ! Que puis-je pour vous ?"

VendorChat1-1				"De la nourriture ? Remplissez votre ventre pour assurer votre endurance. Si vous sentez que votre vitesse de course ralentit, mangez quelque chose."
VendorChat1-2				"Des boissons ? Vous savez... Les mages semblent boire comme des poissons ! Hahaha! Je gage que la magie leur donne soif."
VendorChat1-3				"Des potions de soin ? Bien sur elles agissent rapidement ! C'est pourquoi elles sont si cheres."
VendorChat1-4				"Pas assez d'argent ? Pas de chance. Je pourrais ne pas avoir ce que vous voulez la prochaine fois."
VendorChat1-5				"Combattez pous la gloire si vous le devez, mais pas pour l'argent."
VendorChat1-6				"Vous ne payez pas de mine."

VendorChat2-1				"Boen sur, j'acheterai le buton que vous ne voulez pas !"
VendorChat2-2				"Parfois vous pouvez trouver des endroits caches pleins de butin."
VendorChat2-3				"J'adore de bonnes soldes !"
VendorChat2-4				"Du nouveau ?"
VendorChat2-5				"Pret a ??haggle?"
VendorChat2-6				"M'avez-vous apporte quelque chose de bon cette fois ?"

VendorChat3-1				"Qu'avez-vous besoin d'acheter ?"
VendorChat3-2				"Pret a acheter ? J'ai de nouveautes et je sais qu'elles vous plairont."
VendorChat3-3				"De la bonne nourriture ! Des boissons ??Zesty ! Profitez-en pendant qu'elles sont chaudes !"
VendorChat3-4				"La vie de marchand est une bonne vie."
VendorChat3-5				"N'epargnez aucun de ces vils monstres."
VendorChat3-6				"Besoin de quelque chose ?"

VendorChat6-1				"Bienvenu, ##1## !"
VendorChat6-2				"Puissent les dieux vous guider !"
VendorChat6-3				"##1##, avez-vous amene des pieces ?"
VendorChat6-4				"##1##, veuillez inspecter mes ??wares."
VendorChat6-5				"Quelle grande journee pour le negoce !"
VendorChat6-6				"Chaque jour est une bonne journee pour le negoce."
VendorChat6-7				"N'oubliez pas de regarder sous les choses, ##1##. Parfois certains monstres essaient d'y cacher leurs objets de valeur."
VendorChat6-8				"Prenez tout sur leurs corps puants.  Reprenez-le.  Au depart, ils nous l'avaient vole a nos voisins et nous. Rien de tout cela ne leur appartient."
VendorChat6-9				"Que m'avez-vous apporte ?"
VendorChat6-10				"##1##, etes-vous a court de nourriture ?"
VendorChat6-11				"Prenez soin de vous, ##1##."
VendorChat6-12				"Soyez sauf."

//
// Weaponsmith
//

WeaponsmithIntro			"Oh, un nouveau venu ! Merveilleux !  Je suis ##2##, le forgeron d'armes.  Je suis le meilleur en la matiere."

WeaponsmithChat1-1			"C'est dangereux la-dehors ! Vous feriez mieux d'acheter une bonne arme."
WeaponsmithChat1-2			"He, je suis assez inquiet pour vous.  N'allez pas trop loin de la ville a moins que vous ne soyez sur de votre force."
WeaponsmithChat1-3			"Hmm ? Vous voulez quelque chose ?  Je gage que j'ai quelque chose que vous pourrez utiliser parmi les epees d'entrainement."
WeaponsmithChat1-4			"Je de la marchandise de qualite, mais je doute que vous ayez les fonds."
WeaponsmithChat1-5			"Une epee ??fancy ne fait pas le guerrier, bien que ca ne fasse pas de mal d'en avoir une."
WeaponsmithChat1-6			"En periode trouble, prenez doublement garde."

WeaponsmithChat2-1			"Ah, vous allez vouloir une nouvelle arme alors ?"
WeaponsmithChat2-2			"Je crois que votre arme ira, mais j'en ai vu de meilleures. Et de loin."
WeaponsmithChat2-3			"Bonne chasse !"
WeaponsmithChat2-4			"Je ne suis pas sur que vous soyez pret pour le meilleur."
WeaponsmithChat2-5			"Encore vous ? Je vous croyais deja mort !"
WeaponsmithChat2-6			"Encore ??hanging in ici ?"

WeaponsmithChat3-1			"Combattez bien, guerrier."	
WeaponsmithChat3-2			"Le travail et la guerre.  C'est la gloire des dieux !  Nous sommes vraiment favorises."	
WeaponsmithChat3-3			"Les choses ??are looking up.  Vous avez tant accompli !"	
WeaponsmithChat3-4			"Faites ou ne faites pas.  Il n'y a pas d'essai."
WeaponsmithChat3-5			"Une bonne bataille et de la bonne biere ??ale.  Quoi de meilleur dans la vie ?"
WeaponsmithChat3-6			"Ho, puissant guerrier.  Je n'ai rien que le ??finest pour vous."

WeaponsmithChat6-1			"He la, ##1## !"	
WeaponsmithChat6-2			"Si vous combattez aussi bien que je fabrique les armes, nous nettoierons les profondeurs avant la premiere neige !"
WeaponsmithChat6-3			"Surveillez vos arrieres !"	
WeaponsmithChat6-4			"He, ##1## ! Venez voir un peu ici jeter un oeil a mon stock !"	
WeaponsmithChat6-5			"J'ai le sentiment que vous reussirez bien aujourd'hui !"
WeaponsmithChat6-6			"C'est un bon jour pour marteler le metal."
WeaponsmithChat6-7			"Besoin de quelque chose de nouveau ? J'ai le meilleur !"	
WeaponsmithChat6-8			"Vous feriez mieux de prendre soin de cette arme.  Rien ne m' ??irks plus qu'un regard indifferent (??careless) sur une bonne arme."	
WeaponsmithChat6-9			"Je nettoie et ??affute les armes, mais les meilleurs combattants prennent soin de leur propre materiel."
WeaponsmithChat6-10			"??Sheathing une arme sanglante est comme cracher sur une tombe."
WeaponsmithChat6-11			"La plupart des nouveaux aventuriers sont enclins ??are eager with petite competence.  La moitie d'entre eux mourra avant la fin de la saison."
WeaponsmithChat6-12			"C'est dangereux dans l'obscurite ; et en dessous, il fait toujours sombre."

//
// Armorsmith
//

ArmorsmithIntro				"Bienvenu ! Je m'appelle ##2##, armurier de la ville."

ArmorsmithChat1-1			"J'ai de la bonne armure ; ca vous gardera en vie la-dessous. Voyez avec le forgeron d'armes si vous avez besoin d'une arme."
ArmorsmithChat1-2			"Armures ! Achetez une armure !"
ArmorsmithChat1-3			"Vous cherchez quelque chose en particulier ?"
ArmorsmithChat1-4			"Oh, he. Pret pour une meilleures armure ? Le machin que vous avez sur vous ne va pas vous proteger beaucoup."
ArmorsmithChat1-5			"Mangez beaucoup, si vous pouvez.  Vous en avez besoin !"
ArmorsmithChat1-6			"He jeunot, essayez de ne pas mourir sous ##3##."

ArmorsmithChat2-1			"Se soigner prend du temps. Mieux vaut etre bien cuirasse et eviter le ??fuss."
ArmorsmithChat2-2			"Hmmm... Peut-etre que vous etes meilleur que ce que je pensais."
ArmorsmithChat2-3			"La vie est courte, mais elle sera plus courte encore sans armure decente."
ArmorsmithChat2-4			"Eh bien, les jours ou je vous prend au serieux arrivent serieusement a mi-course."
ArmorsmithChat2-5			"Humph ! Vous n'avez pas encore assez de cicatrices."
ArmorsmithChat2-6			"Des ailes de fees et des escargots-crapauds ( ??toad snails) ! Le ciel annonce a nouveau la pluie."

ArmorsmithChat3-1			"Dites donc, vous, la ! ##1## ! Je vous ai cherche."	
ArmorsmithChat3-2			"Meme le meilleur a besoin d'une armure."
ArmorsmithChat3-3			"Je donne mes meilleurs prix aux meilleurs."
ArmorsmithChat3-4			"Un travail penible et une bonne tuerie de mechants sont le pain et le beurre d'un guerrier."
ArmorsmithChat3-5			"Les jours passent et ##3## est toujours empeste par le Mal."
ArmorsmithChat3-6			"Nous sommes contents de votre puissance, ##1##."

ArmorsmithChat6-1			"Bonjour, ##1## !"	
ArmorsmithChat6-2			"Gardez vos oreilles ouvertes. On ne sait jamais ce qu'on pourrait entendre."	
ArmorsmithChat6-3			"Soyez sur vos gardes la-dehors, ##1##."	
ArmorsmithChat6-4			"Du nouveau ?"	
ArmorsmithChat6-5			"Je vous souhaite du bon. Restez en vie !"	
ArmorsmithChat6-6			"Je crois que vous avez besoin d'une nouvelle armure."	
ArmorsmithChat6-7			"Serait-ce de la moisissure (??mold) sur votre armure ?  Vous devriez la remplacer.  Avez-vous jete un oeil ma marchandise ( ??wares) ?"	
ArmorsmithChat6-8			"N'oubliez pas : je pourrais vouloir acheter les choses que vous trouvez."	
ArmorsmithChat6-9			"Je ne comprends pas ceux qui portent du tissu. Ils ne veulent pas vivre ?"
ArmorsmithChat6-10			"Z'avez ete dans de bons combats dernierement ?"
ArmorsmithChat6-11			"Ils disent que les elfes sylvestres ont une grande richesse, mais vous ne les voyez jamais nulle part pres de ##3##."
ArmorsmithChat6-12			"De bonnes bottes laissent glisser la boue."

//
// Gambler
//

GamblerIntro				"Bienvenu, bienvenu, bienvenu ! Apportez votre piece, faites un pari ! M'appelle ##2## le Parieur. Venez tenter votre chance !"

GamblerChat1-1				"Bonjour, bonjour !"
GamblerChat1-2				"Pourquoi ne pas tenter votre chance ?"
GamblerChat1-3				"Mettez une piece de cote et visez le butin !"
GamblerChat1-4				"##3## est dans un tel desespoir que peu sont d'humeur de faire affaire avec moi."
GamblerChat1-5				"La Chance est l'amie de celui qui est a court de pieces."
GamblerChat1-6				"Eh bien, voila t'y pas le pillier du groupe !"

GamblerChat2-1				"A la recherche d'une affaire ?"
GamblerChat2-2				"Dehors pour une promenade (??stroll) ?"
GamblerChat2-3				"Interesse par une partie ?"
GamblerChat2-4				"Je vous aime bien, ##1##."
GamblerChat2-5				"Les choses s'ameliorent. Pourquoi ne pas profiter de cette chance ?"
GamblerChat2-6				"La Chance est une dame qu'il vaut mieux ne pas dedaigner."

GamblerChat3-1				"Un peu de divertissement ne fait de mal a personne."
GamblerChat3-2				"J'ai de grandes choses en vitrine aujourd'hui. Tout ce que vous avez a faire est de les trouver."
GamblerChat3-3				"C'est l'heure de jouer !"
GamblerChat3-4				"Maintenant que vous avez ??scoured les profondeurs, pourquoi pas une petite partie."
GamblerChat3-5				"La Chance est un loisir qui detend apres avoir eu a faire a la mort sous ##3##."
GamblerChat3-6				"Demandez vous : pourquoi pas ?"

GamblerChat6-1				"##1## ! Mon client prefere !"
GamblerChat6-2				"Est-ce que vous ??racking up les victimes aujourd'hui ?"
GamblerChat6-3				"A la recherche de quelque chose de spcial, ##1## ? Il se pourrait bien que je l'aie."
GamblerChat6-4				"Vous avez trouve de l'argent aujourd'hui ? Ah ! La Chance est de votre cote ! Vous devez parier."
GamblerChat6-5				"Certains jours sont meilleurs que d'autres. Peut-etre meme aujourd'hui !"
GamblerChat6-6				"Une petite partie ?"
GamblerChat6-7				"On ne repart jamais les mains vides chez ##2## !"
GamblerChat6-8				"J'ai la meilleure marchandise en ville ! Bien sur, elle est noyee dans le lot. Il va vous falloir tenter votre chance."
GamblerChat6-9				"De l'amusement et la fortune ! Je suis le seul endroit en ville pour ca."
GamblerChat6-10				"J'ai les meilleures affaires ; meilleures que n'importe qui en ville, quand vous faites le bon achat."
GamblerChat6-11				"Je suis content que vous soyez venu a ##3##, ##1##."
GamblerChat6-12				"Saviez-vous que les souterrains et les cavernes recellent de riches tresors ?  J'ai trouve certains de mes meilleurs obejts dans leur sombre enceinte ( ??embrace)."
GamblerChat6-13				"Tentez votre chance avant de mettre le nez dehors.  C'est toujours bon de savoir quand la chance est avec vous."
GamblerChat6-14				"Desole pour la derniere fois, ##1##.  Je sais que vous allez faire mieux maintenant.  J'ai meme des choses encore plus speciales qu'avant !"

//
// Avatar
//

AvatarIntro1				"Je suis le Dieu Din. Bien que tu n'ait servi aucun dieu dans ta vie pathetique et meprisable, J'ai choisi de t'offrir la redemption en me servant."

AvatarChat1-1-1				"Ton service envers moi ne fait que commencer."
AvatarChat1-1-2				"La mort est la voie de la facilite. Elle ne te sera pas permise."
AvatarChat1-1-3				"Oublie toutes les raisons pour lesquelles quelque chose peut ne pas fonctionner. Tu as seulement besoin de trouver une bonne raison pour laquelle elle fonctionnera."
AvatarChat1-1-4				"Le courage ne rugit pas toujours."
AvatarChat1-1-5				"Tu dois faire ce que tu crois ne pas pouvoir faire."
AvatarChat1-1-6				"Begin somewhere- you cannot build a reputation on what you intend to do."

AvatarChat1-2-1				"You still have more to prove before you're redeemed."
AvatarChat1-2-2				"The world is round and the place which may seem like the end may also be only the beginning."
AvatarChat1-2-3				"These are troubling times for mortals."
AvatarChat1-2-4				"The world is more malleable than you think and it's waiting for you to hammer it into shape."
AvatarChat1-2-5				"In all things it is better to hope than to despair."
AvatarChat1-2-6				"Destroying evil is a pleasing sport."

AvatarChat1-3-1				"You have done well but your trial is not over quite yet."
AvatarChat1-3-2				"When you feel like giving up, remember why you held on for so long in the first place."
AvatarChat1-3-3				"It's not the load that breaks you down, it's the way you carry it."
AvatarChat1-3-4				"Pain is temporary."
AvatarChat1-3-5				"It is a dark road you must walk."
AvatarChat1-3-6				"Never give up or lose hope. Your will is your strongest asset."

AvatarIntro2				"You have proven worthy, and now have a chance to become one of my champions."

AvatarChat2-1-1				"Becoming my champion is no easy feat."
AvatarChat2-1-2				"Problems are only opportunities with thorns on them."
AvatarChat2-1-3				"Trust your own instinct."
AvatarChat2-1-4				"You must conquer your fear to find your redemption."
AvatarChat2-1-5				"Fire is but a tool."

AvatarChat2-2-1				"There is more work to be done."
AvatarChat2-2-2				"Each day is a new life."
AvatarChat2-2-3				"The greatest oak was once a little nut who held its ground."
AvatarChat2-2-4				"Life is either a daring adventure, or nothing."
AvatarChat2-2-5				"Experience is not what happens to you; it is what you do with what happens to you."

AvatarChat2-3-1				"You have done much, yet more awaits."
AvatarChat2-3-2				"Risk more than others think is safe."
AvatarChat2-3-3				"A happy life consists not in the absence, but in the mastery of hardships."
AvatarChat2-3-4				"Find the monsters' weaknesses and exploit them."
AvatarChat2-3-5				"Few have saved so many lives. You are my gift to those in need."

AvatarIntro3				"I admire your determination, and offer you a chance to become one of my elite."

AvatarChat3-1-1				"Not many can become an elite."
AvatarChat3-1-2				"Care more than others think is wise."
AvatarChat3-1-3				"Each day comes bearing its own gifts."
AvatarChat3-1-4				"Evil spawns like flies and hope gross numbers will ensure a victory."
AvatarChat3-1-5				"Hard work is half the battle, cunning is the rest."

AvatarChat3-2-1				"The road is long, you must preserver"
AvatarChat3-2-2				"Dream more than others think is practical."
AvatarChat3-2-3				"It's better to lend a hand than point a finger."
AvatarChat3-2-4				"Trust yourself. You know more than you think you do."
AvatarChat3-2-5				"Hope arouses, as nothing else can arouse, a passion for the possible."

AvatarChat3-3-1				"You've achieved more than I'd hoped, and still more to come."
AvatarChat3-3-2				"What the caterpillar calls the end of the world, the master calls a butterfly."
AvatarChat3-3-3				"If we did all the things we are capable of doing, we would literally astonish ourselves."
AvatarChat3-3-4				"You can't always count on even the gods, but change is more steady than the sun."
AvatarChat3-3-5				"Anger weakens the soul. Compassion can be an anchor of inner peace."

AvatarIntro4				"You have transformed yourself, and I would like you to become one of my legends."

AvatarChat4-1-1				"Legends are revered through the ages, justly so."
AvatarChat4-1-2				"Expect more than others think is possible."
AvatarChat4-1-3				"People occasionally stumble over the truth, but most of them pick themselves up and hurry off as if nothing had happened."
AvatarChat4-1-4				"Hope is the thing with feathers, that perches in the soul, and sings the tune without words, and never stops at all."

AvatarChat4-2-1				"You're midway to your last goal."
AvatarChat4-2-2				"One can never consent to creep when one feels an impulse to soar."
AvatarChat4-2-3				"Don't be afraid to go out on a limb - that's where the fruit is."
AvatarChat4-2-4				"In life, become the calm harbor when the storm rages around you. That is the secret."

AvatarChat4-3-1				"You're transformation is near completion and your service has changed destinity."
AvatarChat4-3-2				"Hope sees the invisible, feels the intangible and achieves the impossible."
AvatarChat4-3-3				"Every act creates a ripple with no logical end."
AvatarChat4-3-4				"Life is full of joy, if you know where to look."

AvatarChat6-1				"Greetings mortal."

// Townsperson

TownPersonChat1-1			"Hello."
TownPersonChat1-2			"I used to work a hillside farm, but came to ##3## for safety."
TownPersonChat1-3			"I was a tailor until the monster rose from the deep to scare everyone away."
TownPersonChat1-4			"No trade comes through anymore."
TownPersonChat1-5			"Every day, I worry where I'll find food."
TownPersonChat1-6			"Make camp in an empty building if you like.  We have plenty of them in these parts."

TownPersonChat2-1			"Good day."
TownPersonChat2-2			"Such evil plagues ##3##, the gods must be very angry."
TownPersonChat2-3			"I always knew there were caverns below us, but I never thought of them brimming with monsters."
TownPersonChat2-4			"The days of peace, such as it was, are over.  This ruiness life is all that remains to us."
TownPersonChat2-5			"There is no hope left for ##3## or us."
TownPersonChat2-6			""

TownPersonChat3-1			"Fare you well?"
TownPersonChat3-2			"What I wouldn't give for a big, fat cow."
TownPersonChat3-3			"I would leave ##3## if a caravan came through."
TownPersonChat3-4			"I'm surprised vendors waste their time in ##3##."
TownPersonChat3-5			"Din bless you so that you may bless us in return."
TownPersonChat3-6			"Fight well, stranger."

TownPersonChat6-1			"Will you save us, ##1##?"
TownPersonChat6-2			"You never would believe ##3## used to be an industrious place."
TownPersonChat6-3			"So many have died.  They were the lucky ones."
TownPersonChat6-4			"If you were sent to us by Din, maybe there is hope left."
TownPersonChat6-5			"I lost my family to those spilling up from beneath."
TownPersonChat6-6			"Survival is all that's on anyone's mind these days."

// General chat (stuff anyone can say, like tips)

GeneralSimpleTips-1			"Sometimes, a monster's group is too large to take on at once. If you can draw one away from the group, you'll have a chance."
GeneralSimpleTips-2			"Always be prepared for an attack on the town."
GeneralSimpleTips-3			"If you hear the town bell, hurry back. It means the town is under attack."
GeneralSimpleTips-4			"Imp tribes are territorial against their own kind. Take advantage of the monsters fighting each other."
GeneralSimpleTips-5			"If you start to feel weak, eat something. It really helps."
GeneralSimpleTips-6			"When you don't have time for food, and need a quick boost to survive, try a health potion. They work immediately."
GeneralSimpleTips-7			"When in town, you can heal at Din's altar."
GeneralSimpleTips-8			"Sometimes while adventuring, you'll find life stones and altars underground. Any of these can be used for healing."
GeneralSimpleTips-9			"If you're facing monsters with a particular skill, like lightning, poison, fire or ice, you can always drink a potion to improve your resistance."
GeneralSimpleTips-10			"To gain a temporary magical boost to an attribute like strength, dexterity, vitality, intelligence or spirit, drink an elixir."
GeneralSimpleTips-11			"Don't doubt magic. Treasure finding elixirs really work."
GeneralSimpleTips-12			"If you're having trouble deciding between two pieces of armor, considering which is more expensive can be helpful."
GeneralSimpleTips-13			"The best weapons have a high DPS number."
GeneralSimpleTips-14			"Nothing in this world is safe. Underground, more than wooden barrels, chest and doors can break. Beware of damaging support beams and lifestones."
GeneralSimpleTips-15			"If you notice a cave-in beginning over your head, run!"

GeneralLore-1				"Gods breath created life, but it was their blood that created the first race."
GeneralLore-2				"Humans are the first race. All other races are a punishment for forgetting the gods. They need our love and worship."
GeneralLore-3				"The teratai, wood elf, sade, lumen, and dwarf were once passively negligent humans. They are to be pitied. Many are descended from active treachery, and those monster races are to be despised for all time."
GeneralLore-4				"Some say we lost the right to Aleria when we lost the days of the twelve kingdoms."
GeneralLore-5				"No one knows of the first six lost kingdoms, but the seventh, Rimround, is said to have fallen because their one giant lifestone underneath their capital was destroyed. This is why humans don't use lifestones to regenerate after death."
GeneralLore-6				"Of the five kingdoms, the Krieg are the most warlike, but even their might couldn't stop the Fourth Great War."
GeneralLore-7				"Since the Kriegs worship Din, you think more of them would've survived the Fourth Great War."
GeneralLore-8				"I wish some Anza herders would pass through. I'm in the mood for fresh meat."
GeneralLore-9				"Sometimes Anza herders will come after a thunderstorm. They often follow Thaden's mark."
GeneralLore-10				"Tarbes lands were really decimated in the war. The Orcs loathe their goddess, Viedonna."
GeneralLore-11				"Though Tarbes fish, it isn't their only industry. That's why the Belogs are better at it."
GeneralLore-12				"The Belogs are the best fishers on the bloody seas. Without their boats hauling refugees to safety, no one would've survived the war."
GeneralLore-13				"It's only natural the Belogs worship Herodius. He's the only water god."
GeneralLore-14				"The Brechins used to be the richest of the five kingdoms. It'll be a long time before the monsters are rooted from their bejeweled cities."
GeneralLore-15				"The Goddess Arilynvia must be crying over the destruction of the Brechin Kingdom, and with it the world's finest crafters. She is a patron of beauty and art."
GeneralLore-16				"Rumor has it that Din gave the naga to the evil goddess, Erillin, but I don't believe it for a second."
GeneralLore-17				"Din is the mightiest of the gods, and that's why jealous Valta despises him."
GeneralLore-18				"No one is pure enough to escape the notice of the God, Mortus. In the end, we all must die."
GeneralLore-19				"Some blame evil Kracht for the war, but it must of been Hamlec because he favors the orcs."
GeneralLore-20				"Some say the war is a retaliation of the crusades. If only the third war hadn't petered out before the job was done, there'd have been no monsters to rally and destroy the west."
GeneralLore-21				"Some say the elf, Drelianlis, left a great treasure in Jorvik. If he did, surely the monsters have plundered it by now."
GeneralLore-22				"It's strange seeing so many races on the roads, yet I haven't seen any dwarves in a long while."
GeneralLore-23				"They say the dwarves had as much trouble as we did in the west. The fourth war had a long reach."
GeneralLore-24				"In the First Great War, Greta Hillard, a priest of Din, saved the God's son, Thaden. They say she saved the world from Din's wrath."
